Name,Age,Date of Birth,Country,Debut,Gender,Rank,Arrow Length in cm,Draw Weight in kg,Average Arrow,World Cup Gold,World Cup Silver,World Cup Bronze
Mike Schloesser,28,1994,NETHERLANDS,2008,MALE,1,72.4,27.2,9.8,8,7,7
Mathias Fullerton,18,2002,DENMARK,NOT FOUND,MALE,2,NOT FOUND,NOT FOUND,9.8,1,NOT FOUND,NOT FOUND
Braden Gellenthien,35,1986,USA,2002,MALE,3,NOT FOUND,NOT FOUND,9.6,35,17,11
Kris Schaff,29,1992,USA,NOT FOUND,MALE,4,NOT FOUND,NOT FOUND,9.6,5,6,4
Abhishek Verma,32,1989,INDIA,NOT FOUND,MALE,5,NOT FOUND,NOT FOUND,9.8,3,2,7
Nico Wiener,24,1997,AUSTRIA,2014,MALE,6,76.2,25.9,9.6,3,1,3
Jozef Bosansky,44,1977,SLOVAKIA,2017,MALE,7,71.1,26.3,9.7,NOT FOUND,NOT FOUND,NOT FOUND
James Lutz,23,1998,USA,NOT FOUND,MALE,8,NOT FOUND,NOT FOUND,9.6,1,1,NOT FOUND
Jean Philippe Boulch,30,1991,FRANCE,2005,MALE,9,NOT FOUND,NOT FOUND,9.8,1,1,3
Evren Cagiran,29,1993,TURKEY,NOT FOUND,MALE,10,NOT FOUND,NOT FOUND,9.7,3,1,NOT FOUND
Adrien Gontier,29,1992,FRANCE,NOT FOUND,MALE,11,NOT FOUND,NOT FOUND,9.7,NOT FOUND,NOT FOUND,2
Federico Pagnoni,33,1988,ITALY,NOT FOUND,MALE,12,NOT FOUND,NOT FOUND,9.7,2,7,5
Yakup Yildiz,20,2003,TURKEY,NOT FOUND,MALE,13,NOT FOUND,NOT FOUND,9.7,1,NOT FOUND,NOT FOUND
Robin Jaatma,20,2001,ESTONIA,NOT FOUND,MALE,14,NOT FOUND,NOT FOUND,9.7,2,NOT FOUND,1
Daniel Munoz,32,1989,COLOMBIA,2005,MALE,15,NOT FOUND,NOT FOUND,9.7,3,5,NOT FOUND
Stephan Hansen,26,1995,DENMARK,NOT FOUND,MALE,16,NOT FOUND,NOT FOUND,9.6,13,9,2
Anton Bulaev,25,1996,RUSSIA,2013,MALE,17,NOT FOUND,NOT FOUND,9.7,1,1,2
Kim Jongho,37,1984,KOREA,2013,MALE,18,74.9,27,9.8,5,4,4
Lukasz Przybylski,27,1993,POLAND,2014,MALE,19,NOT FOUND,NOT FOUND,9.7,NOT FOUND,NOT FOUND,NOT FOUND
Anders Faugstad,22,1999,NORWAY,NOT FOUND,MALE,20,NOT FOUND,NOT FOUND,9.7,1,1,1
Tim Krippendorf,22,1999,GERMANY,NOT FOUND,MALE,21,NOT FOUND,NOT FOUND,9.6,NOT FOUND,NOT FOUND,NOT FOUND
Martin Damsbo,36,1985,DENMARK,2002,MALE,22,73.7,27.2,9.8,10,12,8
Roberto Hernandez,33,1989,EL SALVADOR,2006,MALE,23,NOT FOUND,NOT FOUND,9.8,NOT FOUND,1,4
Miguel Becerra,21,2000,MEXICO,NOT FOUND,MALE,24,NOT FOUND,NOT FOUND,9.7,1,1,NOT FOUND
Miguel Becerra,21,2000,MEXICO,NOT FOUND,MALE,24,NOT FOUND,NOT FOUND,9.7,1,1,NOT FOUND
Furkan Oruc,25,1996,TURKEY,NOT FOUND,MALE,26,NOT FOUND,NOT FOUND,9.6,1,NOT FOUND,NOT FOUND
Yang Jaewon,24,1997,KOREA,NOT FOUND,MALE,26,NOT FOUND,NOT FOUND,9.8,NOT FOUND,1,NOT FOUND
Jean Pizarro,29,1992,PUERTO RICO,NOT FOUND,MALE,28,NOT FOUND,NOT FOUND,9.7,NOT FOUND,NOT FOUND,NOT FOUND
Choi Yonghee,50,1971,KOREA,2003,MALE,29,73.7,26.3,9.7,3,2,3
Domagoj Buden,24,1997,CROATIA,2010,MALE,30,81.3,26.8,9.5,1,1,1
Sergio Pagni,42,1979,ITALY,2008,MALE,31,NOT FOUND,NOT FOUND,9.7,10,11,9
Mario Vavro,24,1997,CROATIA,2009,MALE,32,75.6,26.8,9.5,1,1,2
Douglas Vladimir Nolasco,57,1964,EL SALVADOR,NOT FOUND,MALE,33,NOT FOUND,NOT FOUND,9.7,NOT FOUND,NOT FOUND,NOT FOUND
Viktor Kalashnikov,32,1989,RUSSIA,2012,MALE,34,NOT FOUND,NOT FOUND,9.6,NOT FOUND,NOT FOUND,2
Leon Hollas,24,1997,GERMANY,NOT FOUND,MALE,35,NOT FOUND,NOT FOUND,9.6,NOT FOUND,NOT FOUND,NOT FOUND
James Mason,32,1989,GREAT BRITAIN,NOT FOUND,MALE,36,NOT FOUND,NOT FOUND,9.7,1,NOT FOUND,NOT FOUND
Julio Barillas,26,1995,GUATEMALA,NOT FOUND,MALE,38,NOT FOUND,NOT FOUND,9.7,NOT FOUND,NOT FOUND,NOT FOUND
