Name,Age,Date of Birth,Gender,Country,Debut,Height in m,Weight in kg,Plays,Rank,Tour Rank,Career wins,Singles Played,Singles Won,Singles Lost,Doubles Played,Doubles Won,Doubles Lost,Mixed Played,Mixed Won,Mixed Lost
PUSARLA V. Sindhu,26,1995,FEMALE,HYDERABAD,2009,1.79,65,RIGHT,7,4,364,498,349,149,24,14,10,1,1,0
Kento MOMOTA,26,1994,MALE,KAGAWA,2009,1.75,68,LEFT,1,23,343,422,341,81,6,2,4,1,0,1
LIN Dan,37,1983,MALE,CHINA,2006,1.78,70,LEFT,21,NOT FOUND,662,793,662,131,1,0,1,NOT FOUND,NOT FOUND,NOT FOUND
Anders ANTONSEN,24,1997,MALE,AARHUS,2013,1.83,80,RIGHT,3,15,226,295,226,69,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
CHOU Tien Chen,31,1990,MALE,TAIPEI CITY,2007,1.8,78,RIGHT,4,NOT FOUND,407,587,383,204,17,9,8,24,15,9
Ygor COELHO,24,1996,MALE,BRAZIL,2010,1.78,70,RIGHT,50,8,214,302,200,102,33,12,21,5,2,3
CHEN Long,32,1989,MALE,CHINA,2007,1.87,75,RIGHT,6,NOT FOUND,446,561,446,115,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Koki WATANABE,22,1999,MALE,JAPAN,2014,1.66,62,NOT FOUND,42,45,118,163,109,54,13,8,5,2,1,1
TAI Tzu Ying,27,1994,FEMALE,TAIWAN,2007,1.63,57,RIGHT,1,NOT FOUND,414,564,411,153,10,2,8,3,1,2
NG Ka Long Angus,27,1994,MALE,HONGKONG,2008,1.81,70,RIGHT,9,NOT FOUND,292,413,260,153,53,29,24,7,3,4
CHEN Yu Fei,23,1998,FEMALE,CHINA,2013,1.71,NOT FOUND,RIGHT,2,NOT FOUND,238,314,238,76,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
WANG Tzu Wei,26,1995,MALE,TAIWAN,2011,1.78,NOT FOUND,RIGHT,11,NOT FOUND,260,397,242,155,36,15,21,5,3,2
Kai SCHAEFER,28,1993,MALE,GERMANY,2009,1.75,60,RIGHT,76,40,164,287,154,133,21,10,11,NOT FOUND,NOT FOUND,NOT FOUND
Kanta TSUNEYAMA,25,1996,MALE,JAPAN,2013,1.73,60,RIGHT,13,23,153,221,140,81,20,13,7,NOT FOUND,NOT FOUND,NOT FOUND
Nozomi OKUHARA,26,1995,FEMALE,JAPAN,2010,1.56,51,RIGHT,3,5,331,432,328,104,3,1,2,4,2,2
SAI PRANEETH B.,29,1992,MALE,PALAKOLLU,2009,1.76,70,RIGHT,15,10,226,354,219,135,12,7,5,NOT FOUND,NOT FOUND,NOT FOUND
Kenta NISHIMOTO,27,1994,MALE,MIE,2011,1.8,71,RIGHT,16,45,169,273,169,104,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Carolina MARIN,28,1993,FEMALE,SPAIN,2009,1.72,65,LEFT,4,19,427,526,410,116,27,16,11,2,1,1
Viktor AXELSEN,27,1994,MALE,ODENSE,2009,1.94,NOT FOUND,RIGHT,2,1,399,534,399,135,1,0,1,NOT FOUND,NOT FOUND,NOT FOUND
Akane YAMAGUCHI,24,1997,FEMALE,KATSUYAMA,2012,1.56,55,RIGHT,5,3,324,427,314,113,4,2,2,13,8,5
LEE Zii Jia,23,1998,MALE,MALAYSIA,2012,1.86,78,RIGHT,8,3,168,246,168,78,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Kantaphon WANGCHAROEN,22,1998,MALE,THAILAND,2013,1.74,NOT FOUND,RIGHT,18,22,150,259,148,111,4,1,3,3,1,2
Mark CALJOUW,26,1995,MALE,NETHERLANDS,2011,1.84,NOT FOUND,RIGHT,23,5,245,334,211,123,50,29,21,10,5,5
Ratchanok INTANON,26,1995,FEMALE,THAILAND,2007,1.68,58,RIGHT,6,15,415,590,408,182,8,3,5,6,4,2
Shesar Hiren RHUSTAVITO,27,1994,MALE,INDONESIA,2009,1.7,NOT FOUND,RIGHT,19,9,147,229,147,82,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Rasmus GEMKE,24,1997,MALE,DENMARK,2012,1.85,NOT FOUND,RIGHT,12,18,131,199,131,68,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Jonatan CHRISTIE,23,1997,MALE,INDONESIA,2011,1.79,NOT FOUND,RIGHT,7,35,218,328,218,110,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
AN Seyoung,19,2002,FEMALE,SOUTH KOREA,2015,1.7,50,RIGHT,8,NOT FOUND,149,161,128,33,26,21,5,NOT FOUND,NOT FOUND,NOT FOUND
LEE Cheuk Yiu,25,1996,MALE,HONGKONG,2011,1.78,NOT FOUND,RIGHT,17,NOT FOUND,137,210,126,84,18,11,7,NOT FOUND,NOT FOUND,NOT FOUND
Anthony Sinisuka GINTING,24,1996,MALE,INDONESIA,2011,1.7,66,RIGHT,5,NOT FOUND,197,308,197,111,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Ade Resky DWICAHYO,23,1998,MALE,INDONESIA,2013,NOT FOUND,NOT FOUND,NOT FOUND,75,72,152,169,116,53,56,36,20,NOT FOUND,NOT FOUND,NOT FOUND
Hans-Kristian Solberg VITTINGHUS,35,1986,MALE,DENMARK,2006,1.8,82,RIGHT,20,10,346,554,345,209,1,1,0,NOT FOUND,NOT FOUND,NOT FOUND
KIDAMBI Srikanth,28,1993,MALE,GUNTUR,2010,1.76,73,RIGHT,14,6,255,376,245,131,9,3,6,11,7,4
HE Bing Jiao,24,1997,FEMALE,CHINA,2013,1.69,NOT FOUND,LEFT,9,NOT FOUND,216,303,216,87,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
SHI Yu Qi,25,1996,MALE,CHINA,2012,1.84,NOT FOUND,RIGHT,10,NOT FOUND,210,285,210,75,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Toma Junior POPOV,22,1998,MALE,BULGARIA,2013,1.93,86,RIGHT,33,2,331,291,218,73,158,103,55,18,10,8
Brian YANG,19,2001,MALE,CANADA,2016,1.8,66,NOT FOUND,43,30,217,194,146,48,36,27,9,54,44,10
Pablo ABIAN,36,1985,MALE,SPAIN,2006,1.77,78,RIGHT,52,14,507,680,462,218,45,24,21,37,21,16
Jan O JORGENSEN,33,1987,MALE,DENMARK,2006,1.85,NOT FOUND,RIGHT,22,NOT FOUND,429,654,427,227,3,2,1,NOT FOUND,NOT FOUND,NOT FOUND
Brice LEVERDEZ,35,1986,MALE,FRANCE,2006,1.8,75,RIGHT,37,26,406,624,357,267,86,49,37,NOT FOUND,NOT FOUND,NOT FOUND
Pornpawee CHOCHUWONG,23,1998,FEMALE,THAILAND,2011,1.7,NOT FOUND,RIGHT,10,2,205,309,196,113,4,2,2,11,7,4
Lakshya SEN,20,2001,MALE,ALMORA,2013,1.79,NOT FOUND,RIGHT,24,16,159,206,156,50,8,3,5,NOT FOUND,NOT FOUND,NOT FOUND
