Name,Age,Date of Birth,Nationality,College,Position,Height in cm,Weight in kg,Prefered Hand,Games,Games Started,Minutes,Goals,Attempts,Assists,Steals,Points,Three Points,Two Points,Blocks,Free Throws,Rebounds,Fouls
Precious Achiuwa,21,1999,NIGERIA,MEMPHIS,POWER FORWARD,203,102,RIGHT,45,2,577,98,175,25,15,249,0,101,24,47,174,76
Jaylen Adams,24,1996,USA,ST BONAVENTURE,POINT GUARD,183,102,RIGHT,41,1,446,39,118,67,14,110,25,14,5,7,63,46
Steven Adams,27,1993,NEW ZEALAND,PITT,CENTER,211,120,RIGHT,573,509,15417,2304,3905,701,508,5550,1,2312,561,925,4445,1479
Bam Adebayo,23,1997,USA,KENTUCKY,CENTER,206,115,RIGHT,264,160,7082,1197,2168,888,223,3199,7,1204,251,770,2151,627
LaMarcus Aldridge,35,1985,USA,TEXAS,POWER FORWARD,211,113,RIGHT,1024,980,35062,8034,16376,2027,743,2513,211,7835,1137,3618,8475,2517
Ty-Shon Alexander,22,1998,USA,CREIGHTON,SHOOTING GUARD,190,88,RIGHT,4,0,10,0,4,1,0,4,1,2,0,1,2,1
Nickeil Alexander-Walker,22,1998,CANADA,VIRGINIA TECH,SHOOTING GUARD,198,92,RIGHT,85,9,1353,238,624,170,55,687,111,145,29,64,210,134
Grayson Allen,25,1995,USA,DUKE,SHOOTING GUARD,193,89,RIGHT,108,22,1909,286,673,145,49,886,163,133,15,139,225,148
Jarrett Allen,22,1998,USA,TEXAS,CENTER,211,110,RIGHT,266,201,6651,1080,1760,343,131,2810,16,1064,374,634,2167,563
Al-Farouq Aminu,30,1990,USA,WAKE FOREST,SMALL FORWARD,203,99,RIGHT,706,445,17643,1946,4632,877,676,5343,542,1404,397,909,4266,1297
Kyle Anderson,27,1993,USA,UCLA,SMALL FORWARD,206,104,RIGHT,409,210,8350,999,2053,883,399,2546,141,863,232,400,1733,597
Giannis Antetokounmpo,26,1994,GREECE,NOT FOUND,POWER FORWARD,211,109,RIGHT,571,506,18598,4323,8165,2552,671,11896,360,3981,752,2854,5212,1718
Kostas Antetokounmpo,23,1997,GREECE,DAYTON,POWER FORWARD,208,90,RIGHT,13,0,57,5,11,2,4,15,0,5,3,5,16,7
Thanasis Antetokounmpo,28,1992,GREECE,NOT FOUND,SMALL FORWARD,198,99,RIGHT,56,3,470,77,141,43,21,182,7,71,9,21,118,74
Carmelo Anthony,36,1984,USA,SYRACUSE,SMALL FORWARD,201,107,RIGHT,1167,1117,41200,9701,21688,3330,1168,27102,1533,8174,586,6157,7467,3344
Cole Anthony,20,2000,USA,UNC,POINT GUARD,188,83,RIGHT,25,17,667,101,269,94,17,275,27,74,11,47,112,52
OG Anunoby,23,1997,UNITED KINGDOM,INDIANA,SMALL FORWARD,201,105,RIGHT,239,165,5869,792,1650,268,247,2106,303,503,107,205,940,528
Ryan Arcidiacono,26,1994,USA,VILLANOVA,POINT GUARD,190,88,RIGHT,191,36,3508,327,765,441,112,947,160,167,7,133,401,320
Trevor Ariza,35,1985,USA,UCLA,SMALL FORWARD,203,97,RIGHT,1070,734,31787,4017,9520,2309,1589,11279,1546,2479,338,1685,5172,2145
D.J. Augustin,33,1987,USA,TEXAS,POINT GUARD,180,83,RIGHT,907,326,21678,2860,6946,3607,547,8844,1173,1695,31,1946,1722,1302
Deni Avdija,20,2001,ISRAEL,NOT FOUND,GUARD,201,NOT FOUND,NOT FOUND,38,NOT FOUND,422,53,243,32,11,136,18,35,6,12,228,123
Deandre Ayton,22,1998,THE BAHAMAS,ARIZONA,CENTER,211,113,RIGHT,154,147,4824,1114,1923,268,106,2546,7,1121,183,310,1716,480
Udoka Azubuike,21,1999,NIGERIA,KANSAS,CENTER,208,127,RIGHT,12,0,49,4,7,0,1,12,0,4,4,4,13,8
Dwayne Bacon,25,1995,USA,FLORIDA STATE,SHOOTING GUARD,198,100,RIGHT,181,58,3343,458,1151,195,78,1237,116,355,13,179,465,253
Marvin Bagley III,22,1999,USA,DUKE,POWER FORWARD,211,106,LEFT,112,47,2852,643,1289,107,57,1621,68,575,90,267,843,253
LaMelo Ball,19,2001,USA,NOT FOUND,POINT GUARD,198,81,RIGHT,41,21,1174,237,526,82,19,652,81,156,14,97,240,116
Lonzo Ball,23,1997,USA,UCLA,POINT GUARD,198,86,RIGHT,200,187,6433,861,2168,1280,295,2304,435,434,123,133,1165,442
Mo Bamba,22,1998,USA,TEXAS,CENTER,213,104,RIGHT,133,1,1926,304,657,93,41,783,73,241,177,84,659,267
Desmond Bane,22,1998,USA,TCU,SHOOTING GUARD,196,97,RIGHT,40,10,895,145,302,59,28,406,74,78,8,28,141,86
Harrison Barnes,28,1992,USA,UNC,SMALL FORWARD,203,102,RIGHT,656,595,20655,3326,7392,1159,463,9100,831,2516,126,1596,3327,1080
RJ Barrett,20,2000,CANADA,DUKE,SHOOTING GUARD,198,97,LEFT,103,102,3305,610,1444,297,92,1664,128,497,30,311,585,257
Will Barton,30,1991,USA,MEMPHIS,SHOOTING GUARD,198,82,RIGHT,539,200,13472,2238,5183,1389,410,6066,651,1599,227,922,2293,863
Keita Bates-Diop,25,1996,USA,OHIO STATE,SMALL FORWARD,203,103,RIGHT,90,3,1365,171,408,54,43,473,52,119,39,79,230,77
Nicolas Batum,32,1988,FRANCE,NOT FOUND,SMALL FORWARD,203,104,RIGHT,834,751,26057,3379,7767,3080,801,9518,1333,2049,518,1421,4383,1480
Aron Baynes,34,1986,NEW ZEALAND,WASHINGTON STATE,CENTER,208,117,RIGHT,513,167,8194,1216,2494,416,114,3055,105,1117,252,516,2374,1157
Kent Bazemore,31,1989,USA,OLD DOMINION,SHOOTING GUARD,193,88,LEFT,596,279,12404,1806,4356,1083,602,5080,632,1178,290,830,1913,1215
Darius Bazley,20,2000,USA,NOT FOUND,POWER FORWARD,203,94,LEFT,97,45,2234,283,720,95,41,769,103,180,64,100,516,86
Bradley Beal,27,1993,USA,FLORIDA ,SHOOTING GUARD,190,93,RIGHT,586,552,20286,4611,10130,2367,671,12709,1331,3280,230,2156,2376,1302
