Name,Date of Birth,Country,Gender,Rank,Points
VITTOZZI Lisa,1995,ITALY,FEMALE,1,1091
JEANMONNOT Lou,1998,FRANCE,FEMALE,NOT FOUND,NOT FOUND
TANDREVOLD Ingrid Landmark,1996,NORWAY,FEMALE,3,1044
BRAISAZ-BOUCHET Justine,1996,FRANCE,FEMALE,4,1025
SIMON Julia,1996,FRANCE,FEMALE,NOT FOUND,NOT FOUND
BOE Johannes Thingnes,1993,NORWAY,MALE,1,1262
BOE Tarjei,1988,NORWAY,MALE,2,1080
DALE-SKJEVDAL Johannes,1997,NORWAY,MALE,3,949
LAEGREID Sturla Holm,1997,NORWAY,MALE,4,862
CHRISTIANSEN Vetle Sjaastad,1992,NORWAY,MALE,5,817
