Name,Age,Country,Gender,Debut,City,State,Bowls,Events,Championships,Matches,Cashes,Titles,Average
AJ CHAPMAN,28,USA,MALE,2017,MANCHESTER,LOWA,R,89,3,23,42,2,213.27
AJ JOHNSON,29,USA,MALE,2015,OSWEGO,III,R,140,9,39,72,6,214.88
ANDRES GOMEZ,48,USA,MALE,2005,COLOMBIA,NOT FOUND,R,186,12,46,100,3,211.06
ANDREW ANDERSON,26,USA,MALE,2017,HOLLY,MICH,R,96,9,28,49,3,213.18
ANTHONY LAVERY-SPAHR,30,USA,MALE,2013,PASADENA,TEXAS,R,121,2,36,57,3,216.44
ANTHONY SIMONSEN,24,USA,MALE,2013,LITTLE ELM,TEXAS,R,141,25,55,96,8,223.99
ARTURO QUINTERO,43,USA,MALE,2003,MEXICO,NOT FOUND,R,58,0,9,22,0,213.78
BENJAMIN MARTINEZ,23,USA,MALE,2020,GUADALAJARA,MEXICO,R,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
BILL O'NEILL,40,USA,MALE,2005,LANGHORNE,PA,R,288,46,146,238,12,221.34
BJ MOORE,33,USA,MALE,2011,GREENSBURG,PA,R,98,6,24,44,1,216.71
BRAD ANGELO,51,USA,MALE,2002,LOCKPORT,NY,R,301,22,149,224,5,216.79
BRAD MILLER,31,USA,MALE,2012,LEES SUMMIT,MO,R,117,1,22,47,2,218.48
BRANDON NOVAK,33,USA,MALE,2012,CHILLICOTHE,OHIO,R,76,1,17,28,2,217.29
CHRIS BARNES,51,USA,MALE,1998,DOUBL OAK,TEXAS,R,447,91,260,357,21,218.19
CHRIS LOSCHETTER,41,USA,MALE,2003,AVON,OHIO,R,299,16,112,196,5,200.78
CHRIS VIA,29,USA,MALE,2017,SPRINGFIELD,OHIO,B,85,4,21,38,2,217.53
CHRISTOPHER SLOAN,27,USA,MALE,2013,IRELAND,NOT FOUND,R,66,1,2,16,0,209.66
CRISTIAN AZCONA,27,USA,MALE,2011,CLERMONT,FLA,R,63,3,12,29,4,200.26
DARREN TANG,28,USA,MALE,2016,LAS VEGAS,NOT FOUND,R,127,5,36,69,5,220.47
DICK ALLEN,43,USA,MALE,1999,LEXINGTON ,SC,R,306,17,97,194,13,212.61
DINO CASTILLO,50,USA,MALE,2005,HIGHLAND VILLAGE,TEXAS,R,211,2,55,136,1,204.85
DJ ARCHER,41,USA,MALE,2002,SIMPSONVILLE,SC,R,275,7,64,153,2,206.97
DOM BARRETT,36,USA,MALE,2010,ENGLAND,NOT FOUND,R,181,27,67,131,7,217.24
EJ TACKETT,29,USA,MALE,2012,BLUFFTON ,IND,R,183,36,89,127,15,221.85
FRANCOIS LAVOIE,28,USA,MALE,2015,CANADA,NOT FOUND,R,106,9,42,65,10,220.76
GARY FAULKNER JR.,31,USA,MALE,2013,MEMPHIS,TENN,L,111,5,12,22,1,195.4
GRAHAM FACH,29,USA,MALE,2016,URBANA,OHIO,L,129,3,34,46,4,208.26
GREG OSTRANDER,30,USA,MALE,2012,BRICK,NJ,R,132,0,25,47,1,210.47
GREG YOUNG,25,USA,MALE,1996,VIERA,FLA,R,49,2,7,18,0,211.07
JAKE PETERS,32,USA,MALE,2011,HENDERSON,NEV,R,159,4,18,46,1,212.82
JAKE ROLLINS,25,USA,MALE,2018,GLEN ROCK,NJ,R,34,0,4,6,0,206.53
JAKOB BUTTURFF,27,USA,MALE,2015,TEMPE,ARIZ,L,133,22,61,73,19,219.99
JASON BELMONTE,38,USA,MALE,2008,AUSTRALIA,NOT FOUND,R,195,74,114,164,24,226.79
JASON STERNER,37,USA,MALE,1983,ROCHESTER,NY,R,235,12,50,139,5,207.92
JESPER SVENSSON,26,USA,MALE,2014,SWEDEN,NOT FOUND,L,94,19,33,52,9,222.22
JOSH BLANCHARD,34,USA,MALE,2020,MESA,ARIZ,R,178,15,52,89,7,213.74
KAMRON DOYLE,23,USA,MALE,2017,BRENTWOOD,TENN,R,88,1,11,29,0,203.13
KENNETH RYAN,25,USA,MALE,2018,FARMINGDALE,NJ,L,31,0,2,8,0,207.71
KEVEN WILLIAMS,28,USA,MALE,2015,SPRINGFIELD,MO,L,43,1,4,9,0,211.94
KRIS KOELTZOW,NOT FOUND,USA,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
KRISTOPHER PRATHER,29,USA,MALE,2014,PLAINFIELD,III,R,107,13,41,64,5,220.53
KYLE SHERMAN,27,USA,MALE,2017,O FALLON,MO,R,65,4,27,46,2,218.82
KYLE TROUP,30,USA,MALE,2008,TAYLORSVILLE,NC,B,156,16,44,84,5,220.71
MARSHALL KENT,29,USA,MALE,2014,YAKIMA,WASH,R,168,18,60,110,4,219.29
MARTIN LARSEN,42,USA,MALE,2009,SWEDEN,NOT FOUND,R,142,7,37,82,0,212.03
MATT RUSSO,24,USA,MALE,2019,FAIRVIEW HEIGHTS,III,L,12,0,4,7,1,216.64
MATT SANDERS,27,USA,MALE,2017,EVANSVILLE,IND,L,83,4,20,29,2,208.46
MATTHEW MCNIEL,36,USA,MALE,1985,MINNEAPOLIS,NOT FOUND,L,37,2,12,22,0,217.15
MATTHEW OGLE,37,USA,MALE,2017,LOUISVILLE,KY,B,33,0,3,9,1,211.22
MICHAEL DAVIDSON,25,USA,MALE,2018,VERSAILLES,OHIO,R,53,1,5,13,2,211.79
MICHAEL MARTELL,23,USA,MALE,2019,BROOKLYN,NY,L,22,0,6,9,0,207.84
MICHAEL TANG,25,USA,MALE,2017,PICKERINGTON,OHIO,R,80,1,11,40,0,214.63
MITCH HUPE,26,USA,MALE,2018,WINNIPEG,MB,R,46,1,10,19,1,212.64
MYKEL HOLLIMAN,29,USA,MALE,2018,COLLIERVILLE,TENN,L,30,1,3,7,1,213.16
NATHAN BOHR,41,USA,MALE,2003,AUSTIN,TEXAS,R,249,1,55,148,1,215.67
NICHOLAS PATE,27,USA,MALE,2018,INVER GROVE HEIGHTS,MINN,R,61,3,18,30,0,215.9
NICK KRUML,28,USA,MALE,2016,DOWNERS GROVE,III,R,83,1,15,32,1,209.17
NORM DUKE,57,USA,MALE,1982,CLERMONT,FLA,R,804,147,411,603,45,217.73
OSKU PALERMAA,37,USA,MALE,2009,FINLAND,NOT FOUND,R,167,16,38,98,5,213.95
PARKER BOHN III,58,USA,MALE,1984,JACKSON,NJ,L,847,142,396,568,42,203.43
PATRICK GIRARD,38,USA,MALE,2003,CANADA,NOT FOUND,R,145,4,42,93,0,215.18
PATRICK HANRAHAN,26,USA,MALE,2018,WICHITA,KAN,L,30,1,4,12,0,216.75
RHINO PAGE,38,USA,MALE,2007,SPOKANE,WASH,L,207,30,75,128,6,211.16
RICHARD TEECE,31,USA,MALE,2013,FELTHAM,MIDDLESEX,R,83,3,9,31,1,209.08
RONNIE RUSSELL,41,USA,MALE,2003,NOBLESVILLE,IND,R,303,19,88,185,6,208.38
RYAN CIMINELLI,35,USA,MALE,2007,MONROE,NC,L,250,27,72,124,11,215.82
RYAN SHAFER,55,USA,MALE,1986,HORSEHEADS,NY,R,733,58,314,469,6,212.25
SAM COOLEY,30,USA,MALE,2015,AUSTRALIA,NOT FOUND,R,88,1,20,40,0,213.6
SEAN LAVERY-SPAHR,30,USA,MALE,2012,PASADENA,TEXAS,R,84,1,26,37,1,213.68
SEAN RASH,39,USA,MALE,2005,MONTGOMERY,III,R,323,47,141,251,15,214.16
SHAWN MALDONADO,35,USA,MALE,2013,HOUSTON,NOT FOUND,B,138,8,44,69,2,218.77
STUART WILLIAMS,40,USA,MALE,2009,PFLUGERVILLE,TEXAS,R,188,10,53,118,4,212.27
