Name,Age,Country,Height in m,Weight in kg,Wins,Losses,Draws
Kudratillo Abdukakhorov,30,UZBEKISTAN,1.77,66.82,20,2,0
Carlos Adames,29,DOMINICAN REPUBLIC,1.8,71.36,23,1,0
Botirzhon Akhmedov,33,UKRAINE,1.72,63.64,10,3,0
Immanuwel Aleem,30,USA,1.75,72.73,20,3,2
Devon Alexander,37,USA,1.74,66.82,27,8,1
Saul Alvarez,33,MEXICO,1.73,76.36,60,2,2
Alfredo Angulo,41,MEXICO,1.75,75.91,26,8,0
Chris Arreola,43,USA,1.91,111.82,39,7,1
Mario Barrios,28,USA,1.83,66.82,28,2,0
Andre Berto,40,USA,1.71,66.82,32,6,0
Carlos Castro,30,USA,1.7,55.45,29,2,0
Jermell Charlo,33,USA,1.83,70,35,2,1
