Name,Age,Date of Birth,Nationality,Debut,Rank,Height in cm,Weight in kg,Title,ID,Gender,Std Rating,Rapid Rating,Blitz Rating,Games,Wins,Draws,Losses,Score in %
"Kasparov, Garry",57,1963,RUSSIA,1963,3,174,70,GRANDMASTER,4100018,MALE,2812,2783,2801,2515,1370,945,200,73.26
"Kramnik, Vladimir",45,1975,RUSSIA,1975,17,195,111,GRANDMASTER,4101588,MALE,2753,2756,2797,2927,1035,1465,427,60.39
"Anand, Viswanathan",51,1969,INDIA,1969,16,177,75,GRANDMASTER,5000017,MALE,2753,2751,2785,3777,1343,1912,522,60.87
"Morozevich, Alexander",43,1977,RUSSIA,1977,86,203,NOT FOUND,GRANDMASTER,4116992,MALE,2659,2651,2705,2321,1000,748,573,59.2
"Adams, Michael",49,1963,UNITED KINGDOM,1971,26,NOT FOUND,NOT FOUND,GRANDMASTER,400041,MALE,2716,2684,2742,3050,1152,1452,446,61.57
"Shirov, Alexei",48,1972,LATVIA,1972,83,NOT FOUND,NOT FOUND,GRANDMASTER,2209390,MALE,2662,2693,2682,3477,1432,1453,599,61.95
"Leko, Peter",41,1979,HUNGARY,1979,79,157,60.7,GRANDMASTER,703303,MALE,2663,2710,2738,2504,645,1455,404,54.81
"Ivanchuk, Vassily",51,1969,RUSSIA,1969,59,NOT FOUND,NOT FOUND,GRANDMASTER,14100010,MALE,2678,2686,2710,3931,1449,1851,631,60.4
"Topalov, Veselin",45,1975,BULGARIA,1975,21,NOT FOUND,NOT FOUND,GRANDMASTER,2900084,MALE,2735,2668,2667,2319,778,1024,524,55.46
"Krasenkow, Michal",57,1963,POLAND,1963,260,NOT FOUND,NOT FOUND,GRANDMASTER,1113100,MALE,2597,2520,2578,2373,1034,972,367,64.05
"Bareev, Evgeny",54,1966,RUSSIA,1966,127,NOT FOUND,NOT FOUND,GRANDMASTER,4100140,MALE,2638,2659,2678,1867,715,763,389,58.73
"Karpov, Anatoly",69,1951,RUSSIA,1951,183,170,NOT FOUND,GRANDMASTER,4100026,MALE,2617,2583,2607,3777,1558,1745,474,64.35
"Kasimdzhanov, Rustam",41,1979,UZBEKISTAN,1979,82,NOT FOUND,NOT FOUND,GRANDMASTER,14200244,MALE,2662,2698,2693,1516,597,663,256,61.25
"Svidler, Peter",44,1976,RUSSIA,1976,28,NOT FOUND,NOT FOUND,GRANDMASTER,4102142,MALE,2714,2742,2754,3120,1068,1560,492,59.23
"Gelfand, Boris",52,1968,ISRAEL,1968,61,NOT FOUND,NOT FOUND,GRANDMASTER,2805677,MALE,2676,2702,2693,3242,950,1699,593,55.51
"Short, Nigel D.",55,1965,UNITED KINGDOM,1965,155,NOT FOUND,NOT FOUND,GRANDMASTER,400025,MALE,2626,2537,2619,2842,1082,1193,567,59.06
"Smirin, Ilia",53,1968,ISRAEL,1968,196,NOT FOUND,NOT FOUND,GRANDMASTER,2801990,MALE,2614,2678,2499,2299,892,1020,387,60.98
"Hou, Yifan",26,1994,CHINA,1994,88,NOT FOUND,NOT FOUND,WOMAN GRANDMASTER,8602980,FEMALE,2658,2621,2601,1495,615,527,353,58.76
"Dreev, Alexey",52,1969,RUSSIA,1969,106,NOT FOUND,NOT FOUND,GRANDMASTER,4100107,MALE,2647,2644,2706,3222,1209,1498,515,60.77
"Azmaiparashvili, Zurab",60,1960,GEORGIA,1960,140,NOT FOUND,NOT FOUND,GRANDMASTER,13601326,MALE,2637,2619,2608,1432,545,624,263,59.85
"Ye, Jiangchuan",60,1960,CHINA,1960,258,NOT FOUND,NOT FOUND,GRANDMASTER,8600040,MALE,2602,NOT FOUND,NOT FOUND,660,224,316,120,57.88
"Rublevsky, Sergei",46,1974,RUSSIA,1974,117,215,86,GRANDMASTER,4115309,MALE,2642,2645,2666,1701,644,771,286,60.52
"Xu, Jun",58,1995,CHINA,1962,1036,NOT FOUND,NOT FOUND,GRANDMASTER,8600031,MALE,2477,2523,NOT FOUND,793,250,374,169,55.11
"Almasi, Zoltan",44,1976,HUNGARY,1976,48,NOT FOUND,NOT FOUND,GRANDMASTER,702293,MALE,2687,2621,2585,1944,738,897,309,61.03
"Gurevich, Mikhail",62,1959,RUSSIA,1959,322,NOT FOUND,NOT FOUND,GRANDMASTER,200930,MALE,2577,2598,2610,2370,1087,933,350,65.55
"Khalifman, Alexander",55,1966,RUSSIA,1966,210,NOT FOUND,NOT FOUND,GRANDMASTER,4100115,MALE,2608,2522,NOT FOUND,2169,615,1327,227,58.94
"Movsesian, Sergei",42,1978,ARMENIA,1978,108,147,72.5,GRANDMASTER,310204,MALE,2647,2677,2632,2555,1058,1113,384,63.19
"Georgiev, Kiril",55,1965,BULGARIA,1965,290,210,NOT FOUND,GRANDMASTER,2900017,MALE,2589,2654,2539,2585,1036,1155,394,62.42
"Akopian, Vladimir",49,1971,ARMENIA,1971,126,NOT FOUND,NOT FOUND,GRANDMASTER,13300032,MALE,2638,2668,2641,1798,652,897,249,61.21
"Peng, Xiaomin",47,1973,CHINA,1973,315,NOT FOUND,NOT FOUND,GRANDMASTER,8600511,MALE,2591,NOT FOUND,NOT FOUND,343,118,171,54,59.33
"Nikolic, Predrag",60,1960,BOSNIA,1960,412,NOT FOUND,NOT FOUND,GRANDMASTER,14400014,MALE,2558,2658,2550,2412,831,1127,454,57.82
"Tkachiev, Vladislav",47,1973,FRANCE,1973,88,NOT FOUND,NOT FOUND,GRANDMASTER,618438,MALE,2660,2673,2587,1492,570,704,218,61.8
"Polgar, Judit (GM)",44,1976,HUNGARY,1976,64,NOT FOUND,NOT FOUND,GRANDMASTER,700070,FEMALE,2675,2646,2736,1827,692,665,470,56.08
"Goryachkina, Aleksandra",22,1998,RUSSIA,1998,274,NOT FOUND,NOT FOUND,WOMAN GRANDMASTER,4147103,FEMALE,2593,2502,2441,929,315,402,212,55.54
"Beliavsky, Alexander G",67,1953,UKRAINE,1953,649,NOT FOUND,NOT FOUND,GRANDMASTER,14602377,MALE,2517,2631,NOT FOUND,3150,1213,1379,558,60.4
"Piket, Jeroen",52,1969,NETHERLANDS,1969,171,NOT FOUND,NOT FOUND,GRANDMASTER,1000055,MALE,2624,NOT FOUND,NOT FOUND,1932,641,841,450,54.94
"Lautier, Joel",47,1973,FRANCE,1973,94,NOT FOUND,NOT FOUND,GRANDMASTER,600016,MALE,2658,NOT FOUND,NOT FOUND,1797,598,811,388,55.84
"Seirawan, Yasser",60,1960,USA,1960,183,NOT FOUND,NOT FOUND,GRANDMASTER,2000032,MALE,2620,2647,2523,1610,580,697,333,57.67
"Fedorov, Alexei",48,1972,BELARUS,1972,559,NOT FOUND,NOT FOUND,GRANDMASTER,13500465,MALE,2529,2640,2532,1494,578,684,232,61.58
"Salov, Valery",56,1964,RUSSIA,1964,118,NOT FOUND,NOT FOUND,GRANDMASTER,4100069,MALE,2644,NOT FOUND,NOT FOUND,794,255,395,144,56.99
"Van Wely, Loek",48,1972,NETHERLANDS,1972,173,NOT FOUND,NOT FOUND,GRANDMASTER,1000268,MALE,2620,2635,2593,3686,1496,1341,849,58.78
"Gulko, Boris F",74,1947,USA,1947,491,NOT FOUND,NOT FOUND,GRANDMASTER,2000040,MALE,2542,2507,NOT FOUND,1995,689,1011,295,59.87
"Nenashev, Alexander",58,1962,UZBEKISTAN,1962,354,NOT FOUND,NOT FOUND,GRANDMASTER,4680804,MALE,2569,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
"Bologan, Viktor",49,1971,MOLDOVA,1971,371,NOT FOUND,NOT FOUND,GRANDMASTER,13900048,MALE,2574,2564,2511,2528,1065,813,650,58.21
"Andersson, Ulf",69,1951,SWEDEN,1951,658,221,83.4,GRANDMASTER,1700014,MALE,2516,2493,2467,2796,767,1724,305,58.26
"Hodgson, Julian M.",57,1963,UNITED KINGDOM,1963,222,NOT FOUND,NOT FOUND,GRANDMASTER,400076,MALE,2609,NOT FOUND,NOT FOUND,1709,788,595,326,63.52
