Name,Age,Country,Debut,Skill,ODI Matches,ODI Runs,ODI Wickets,ODI Catches,Test Matches,Test Runs,Test Wickets,Test Catches,T20 Matches,T20 Runs,T20 Wickets,T20 Catches
SC Ganguly,48,India,1992,BATSMAN,311,11363,100,100,113,7212,32,71,0,0,0,0
BB McCullum,39,New zealand,2002,WICKETKEEPER BATSMAN,260,6083,0,262,101,6453,1,198,71,2140,0,36
RT Ponting,45,Australia,1995,TOP ORDER BATSMAN,375,13704,3,160,168,13378,5,196,17,401,0,8
DJ Hussey,43,Australia,2008,ALLROUNDER,69,1796,18,29,0,0,0,0,39,756,19,24
Mohammad Hafeez,40,Pakistan,2003,ALLROUNDER,218,6614,139,85,55,3652,53,45,98,2282,54,26
R Dravid,47,India,1996,TOP ORDER BATSMAN,344,10889,4,196,164,13288,1,210,1,31,0,0
W Jaffer,42,India,2000,TOP ORDER BATSMAN,2,10,0,0,31,1944,2,27,0,0,0,0
V Kohli,32,India,2008,TOP ORDER BATSMAN,251,12040,4,129,86,7240,0,82,85,2928,4,42
JH Kallis,45,South Africa,1995,ALLROUNDER,328,11579,273,131,166,13289,292,200,25,666,12,7
CL White,37,Australia,2005,MIDDLE ORDER BATSMAN,91,2072,12,37,4,146,5,1,47,984,1,23
MV Boucher,43,South Africa,1997,WICKETKEEPER BATSMAN,295,4686,0,403,147,5515,1,532,25,268,0,18
P Kumar,34,India,2007,BOWLER,68,292,77,11,6,149,27,2,10,7,8,1
Z Khan,42,India,2000,BOWLER,200,792,282,43,92,1231,311,19,17,13,17,2
SB Joshi,50,India,1996,ALLROUNDER,69,584,69,19,15,352,41,7,0,0,0,0
PA Patel,35,India,2002,WICKETKEEPER BATSMAN,38,736,0,30,25,934,0,62,2,36,0,1
ML Hayden,49,Australia,1993,OPENING BATSMAN,161,6133,0,68,103,8625,0,128,9,308,0,1
MEK Hussey,45,Australia,2004,MIDDLE ORDER BATSMAN,185,5442,2,105,79,6235,7,85,38,721,0,20
MS Dhoni,39,India,2004,WICKETKEEPER BATSMAN,350,10773,1,321,90,4876,0,256,98,1617,0,57
SK Raina,34,India,2005,MIDDLE ORDER BATSMAN,226,5615,36,102,18,768,13,23,78,1605,13,42
JDP Oram,42,New zealand,2001,ALLROUNDER,160,2434,173,51,33,1780,60,15,36,474,19,12
S Badrinath,40,India,2008,MIDDLE ORDER BATSMAN,7,79,0,2,2,63,0,2,1,43,0,0
K Goel,33,India,2005,ALLROUNDER,0,0,0,0,0,0,0,0,0,0,0,0
JR Hopes,42,Australia,2005,ALLROUNDER,84,1326,67,25,0,0,0,0,12,105,10,3
KC Sangakkara,43,Srilanka,2000,WICKETKEEPER BATSMAN,404,14234,0,402,134,12400,0,182,56,1382,0,25
Yuvraj Singh,38,India,2000,MIDDLE ORDER BATSMAN,304,8701,111,94,40,1900,9,31,58,1177,28,12
SM Katich,45,Australia,2003,BATSMAN,45,1324,0,13,56,4188,21,39,3,69,0,2
IK Pathan,36,India,2003,ALLROUNDER,120,1544,173,21,29,1105,100,8,24,172,28,2
YK Pathan,38,India,2007,ALLROUNDER,57,810,33,17,0,0,0,0,22,236,13,9
SR Watson,39,Australia,2002,ALLROUNDER,190,5757,168,64,59,3731,75,45,58,1462,48,20
M Kaif,40,India,2000,BATSMAN,125,2753,0,55,13,624,0,14,0,0,0,0
DS Lehmann,50,Australia,1996,TOP ORDER BATSMAN,117,3078,52,26,27,1798,15,11,0,0,0,0
RA Jadeja,31,India,2009,ALLROUNDER,168,2411,188,60,49,1869,213,36,50,217,39,21
SK Warne,51,Australia,1992,BOWLER,194,1018,293,80,145,3154,708,125,0,0,0,0
G Gambhir,39,India,2003,TOP ORDER BATSMAN,147,5238,0,36,58,4154,0,38,37,932,0,11
V Sehwag,42,India,1999,TOP ORDER BATSMAN,251,8273,96,93,104,8586,40,91,19,394,0,2
S Dhawan,34,India,2010,OPENING BATSMAN,139,5808,0,65,34,2315,0,28,64,1669,0,19
ST Jayasuriya,51,Srilanka,1989,ALLROUNDER,445,13430,323,123,110,6973,98,78,31,629,19,4
RV Uthappa,35,India,2006,BATSMAN,46,934,0,19,0,0,0,0,13,249,0,2
AM Nayar,37,India,2005,ALLROUNDER,3,0,0,0,0,0,0,0,0,0,0,0
SM Pollock,47,South Africa,1995,ALLROUNDER,303,3519,393,108,108,3781,421,72,12,86,15,2
Harbhajan Singh,40,India,1998,BOWLER,236,1237,269,71,103,2224,417,42,28,108,25,7
S Chanderpaul,46,Westindies,1994,BATSMAN,268,8778,14,73,164,11867,9,66,22,343,0,7
LRPL Taylor,36,New zealand,2006,MIDDLE ORDER BATSMAN,232,8574,0,139,103,7285,2,149,102,1909,0,46
AC Gilchrist,49,Australia,1996,WICKETKEEPER BATSMAN,287,9619,0,417,96,5570,0,379,13,272,0,17
Y Venugopal Rao,38,India,2011,MIDDLE ORDER BATSMAN,16,218,0,6,0,0,0,0,0,0,0,0
VVS Laxman,46,India,1996,TOP ORDER BATSMAN,86,2338,0,39,134,8781,2,135,0,0,0,0
A Symonds,45,Australia,1998,ALLROUNDER,198,5088,133,82,26,1462,24,22,14,337,8,3
RG Sharma,33,India,2007,TOP ORDER BATSMAN,224,9115,8,77,32,2141,2,31,108,2773,1,40
SB Styris,45,New zealand,1999,ALLROUNDER,188,4483,137,73,29,1586,20,23,31,578,18,8
SB Bangar,48,India,2002,ALLROUNDER,15,180,7,4,12,470,7,4,0,0,0,0
WPUJC Vaas,46,Srilanka,1994,BOWLER,322,2025,400,60,111,3089,355,31,6,33,6,0
RP Singh,34,India,2005,BOWLER,58,104,69,13,14,116,40,6,10,3,15,2
WP Saha,36,India,2010,WICKETKEEPER BATSMAN,9,41,0,17,37,1238,0,92,0,0,0,0
DPMD Jayawardene,43,Srilanka,1997,BATSMAN,448,12650,8,218,149,11814,6,205,55,1493,0,17
B Lee,44,Australia,2000,BOWLER,221,1176,380,54,76,1451,310,23,25,101,28,6
PP Chawla,31,India,2006,BOWLING ALLROUNDER,25,38,32,9,3,6,7,1,7,0,4,2
Kamran Akmal,38,Pakistan,2002,WICKETKEEPER BATSMAN,157,3236,0,157,53,2648,0,184,58,987,0,28
Shahid Afridi,40,Pakistan,1996,ALLROUNDER,398,8064,395,127,27,1716,48,10,99,1416,98,30
DJ Bravo,37,Westindies,2004,ALLROUNDER,164,2968,199,73,40,2200,86,41,71,1151,59,36
A Nehra,41,India,1999,BOWLER,120,141,157,18,17,77,44,5,27,28,34,4
GC Smith,39,South Africa,2002,OPENING BATSMAN,197,6989,18,105,117,9265,8,169,33,982,0,18
