Name,Age,Date of Birth,Country,Debut,Gender,Rank,Height in m,Weight in kg,Points,Wins,Grand Tours,Classics
Pogačar Tadej,23,1998,SLOVENIA,2019,MALE,1,1.76,66,1259,37,3,7
Roglič Primož,32,1989,SLOVENIA,2016,MALE,3,1.77,65,561,63,9,8
Van Aert Wout,27,1994,BELGIUM,2019,MALE,2,1.9,78,1073,33,3,13
Evenepoel Remco,22,2000,BELGIUM,2019,MALE,4,1.71,64,951,26,1,3
Alaphilippe Julian,29,1992,FRANCE,2013,MALE,6,1.73,62,413,38,6,18
Mohorič Matej,27,1994,SLOVENIA,2014,MALE,5,1.85,72,626,16,10,20
Almeida João,23,1998,PORTUGAL,2020,MALE,7,1.78,63,463,7,2,3
Carapaz Richard,28,1993,ECUADOR,2019,MALE,8,1.7,62,275,14,8,2
Küng Stefan,28,1993,SWITZERLAND,2019,MALE,9,1.93,83,630,22,7,16
Vingegaard Jonas,25,1996,DENMARK,2016,MALE,10,1.75,60,506,6,2,5
Merlier Tim,29,1992,BELGIUM,2019,MALE,11,1.85,80,612,21,2,2
Van Der Poel Mathieu,27,1995,BELGIUM,2014,MALE,13,1.84,75,825,38,1,11
Colbrelli Sonny,31,1990,ITALY,2012,MALE,14,1.76,74,180,34,10,18
Philipsen Jasper,24,1998,BELGIUM,2019,MALE,12,1.76,75,322,17,4,6
Vlasov Aleksandr,25,1996,RUSSIA,2018,MALE,15,1.86,68,852,8,4,5
Mas Enric,27,1995,SPAIN,2017,MALE,17,1.77,61,283,5,7,7
Ulissi Diego,32,1989,ITALY,1996,MALE,18,1.75,63,364,43,11,29
Valverde Alejandro,41,1980,SPAIN,2002,MALE,16,1.77,61,756,133,30,34
Woods Michael,35,1986,CANADA,2012,MALE,22,1.75,64,272,9,7,13
Quintana Nairo,32,1990,COLOMBIA,2012,MALE,26,1.67,59,647,51,16,6
Bilbao Pello,32,1990,SPAIN,2017,MALE,21,1.74,60,725,13,13,6
Caruso Damiano,34,1987,ITALY,2011,MALE,20,1.79,67,326,7,15,26
Cavendish Mark,36,1985,ISLE OF MAN,2005,MALE,19,1.75,70,252,159,20,15
Yates Adam,29,1992,UNITED KINGDOM,2014,MALE,23,1.73,58,410,16,10,11
Bernal Egan,25,1997,COLOMBIA,2018,MALE,24,1.75,60,1525,19,5,3
Gaudu David,25,1996,FRANCE,2016,MALE,32,1.73,60,151,8,5,7
Yates Simon,29,1992,UNITED KINGDOM,2013,MALE,41,1.72,58,346,24,12,7
Martin Guillaume,28,1993,FRANCE,2017,MALE,27,1.73,55,386,7,7,9
O'connor Ben,26,1995,AUSTRALIA,2017,MALE,25,1.88,67,314,7,5,3
Jakobsen Fabio,25,1996,NETHERLANDS,2018,MALE,30,1.81,78,321,31,2,1
Cosnefroy Benoît,26,1995,FRANCE,2019,MALE,29,1.79,64,480,12,3,7
Matthews Michael,31,1990,AUSTRALIA,2017,MALE,33,1.78,72,412,38,12,22
Laporte Christophe,29,1992,FRANCE,2014,MALE,31,1.89,76,481,22,7,21
Martínez Daniel Felipe,25,1996,COLOMBIA,2016,MALE,28,1.72,63,863,10,7,10
Van Baarle Dylan,29,1992,NETHERLANDS,2014,MALE,34,1.87,78,598,6,10,21
Van Poppel Danny,28,1993,NETHERLANDS,2013,MALE,35,1.84,82,210,18,6,13
Izagirre Ion,33,1989,SPAIN,2009,MALE,38,1.73,60,445,16,14,22
Stuyven Jasper,30,1992,BELGIUM,2009,MALE,39,1.86,78,309,9,8,22
Kristoff Alexander,34,1987,NORWAY,2007,MALE,40,1.81,78,550,83,10,34
Démare Arnaud,30,1991,BEAUVAIS,2012,MALE,43,1.82,76,229,84,10,24
Pedersen Mads,26,1995,DENMARK,2017,MALE,44,1.79,70,494,22,4,12
Mollema Bauke,35,1986,NETHERLANDS,2010,MALE,47,1.83,64,97,17,19,23
Hayter Ethan,23,1998,UNITED KINGDOM,2019,MALE,45,1.78,69,200,11,0,3
Nizzolo Giacomo,33,1989,ITALY,2019,MALE,48,1.84,72,235,28,11,13
Bardet Romain,31,1990,FRANCE,2012,MALE,36,1.84,65,335,10,11,18
Urán Rigoberto,35,1987,URRAO,2007,MALE,49,1.73,63,121,14,20,20
Barguil Warren,30,1991,FRANCE,2013,MALE,56,1.82,61,504,8,11,16
Higuita Sergio,24,1997,COLOMBIA,2019,MALE,50,1.66,57,538,7,3,5
Haig Jack,28,1993,AUSTRALIA,2021,MALE,54,1.9,67,239,2,8,9
Mcnulty Brandon,24,1998,USA,2020,MALE,52,1.83,69,545,5,2,4
Hirschi Marc,23,1998,SWITZERLAND,2019,MALE,51,1.74,61,301,4,2,7
Trentin Matteo,32,1989,ITALY,2011,MALE,53,1.79,74,264,27,11,30
Porte Richie,37,1985,AUSTRALIA,2016,MALE,46,1.72,62,238,33,16,6
Asgreen Kasper,27,1995,DENMARK,2018,MALE,55,1.92,75,272,10,4,10
Bouhanni Nacer,31,1990,FRANCE,2012,MALE,57,1.75,65,388,70,10,7
Ackermann Pascal,28,1994,GERMANY,2017,MALE,58,1.8,78,213,37,2,2
Ganna Filippo,25,1996,ITALY,2019,MALE,59,1.93,83,168,19,2,10
Sagan Peter,32,1990,SLOVAKIA,2009,MALE,60,1.82,78,73,119,16,33
Girmay Biniam,22,2000,ERITREA,2021,MALE,61,1.84,70,526,7,0,1
Teuns Dylan,30,1992,BELGIUM,2019,MALE,37,1.81,64,556,13,6,18
Kelderman Wilco,31,1991,NETHERLANDS,2017,MALE,62,1.85,65,29,4,12,11
Wellens Tim,30,1991,BELGIUM,2012,MALE,64,1.82,71,392,34,7,26
Cattaneo Mattia,31,1990,ITALY,2015,MALE,66,1.84,67,5,3,8,11
Covi Alessandro,23,1998,ITALY,2015,MALE,65,1.8,66,233,2,1,3
Benoot Tiesj,28,1994,BELGIUM,2018,MALE,63,1.9,72,394,3,6,22
Viviani Elia,33,1989,ITALY,2018,MALE,67,1.78,67,147,86,13,14
Madouas Valentin,25,1996,FRANCE,2018,MALE,68,1.78,71,338,2,3,10
Kwiatkowski Michał,31,1990,POLAND,2016,MALE,69,1.76,68,273,29,11,33
Hofstetter Hugo,28,1994,FRANCE,2020,MALE,70,1.7,65,391,2,1,9
Masnada Fausto,28,1993,ITALY,2017,MALE,71,1.82,65,156,6,4,6
Valgren Michael,30,1992,DENMARK,2011,MALE,73,1.79,71,130,8,9,20
Thomas Geraint,35,1986,UNITED KINGDOM,2007,MALE,72,1.83,71,32,24,16,19
Honoré Mikkel Frølich,25,1997,DENMARK,2019,MALE,74,1.85,68,15,2,3,3
Tiller Rasmus,25,1996,NORWAY,2019,MALE,75,1.74,71,179,2,1,4
Swift Connor,26,1995,UNITED KINGDOM,2022,MALE,76,1.9,75,121,3,2,7
Poels Wout,34,1987,NETHERLANDS,2022,MALE,77,1.83,66,261,21,18,15
Teunissen Mike,29,1992,NETHERLANDS,2013,MALE,78,1.84,73,118,6,5,13
Kuss Sepp,27,1994,USA,2014,MALE,79,1.8,61,75,7,7,2
Walscheid Max,28,1993,GERMANY,2016,MALE,81,1.99,90,316,12,5,6
Coquard Bryan,29,1992,FRANCE,2018,MALE,80,1.71,59,241,47,5,6
Cort Magnus,29,1993,DENMARK,2018,MALE,82,1.83,68,20,22,7,16
Paret-peintre Aurélien,26,1996,FRANCE,2020,MALE,83,1.84,64,180,1,2,4
Martin Dan,35,1986,UNITED KINGDOM,2008,MALE,93,1.75,59,595,22,19,26
Kooij Olav,20,2001,NETHERLANDS,2020,MALE,85,1.84,72,335,6,0,0
Latour Pierre,28,1993,FRANCE,2015,MALE,87,1.8,66,240,5,6,6
Hermans Ben,35,1986,BELGIUM,2009,MALE,88,1.86,72,20,19,7,16
Politt Nils,28,1994,GERMANY,2015,MALE,89,1.92,80,149,4,5,16
Powless Neilson,25,1996,USA,2019,MALE,84,1.83,67,146,1,3,5
