Name,Age,Date of Birth,Country,Gender,Rank,Height in m,Darts in g,Titles,Finishes
Peter Wright,52,1970,UNITED KINGDOM,MALE,1,1.76,22,12,1
Gerwyn Price,37,1985,UNITED KINGDOM,MALE,2,1.78,24,7,3
Michael van Gerwen,33,1989,NETHERLANDS,MALE,3,1.75,21.5,57,7
Michael Smith,31,1990,UNITED KINGDOM,MALE,4,NOT FOUND,22,2,2
James Wade,39,1983,UNITED KINGDOM,MALE,5,1.8,20,10,4
Gary Anderson,51,1970,UNITED KINGDOM,MALE,6,1.8,23,19,3
Jose De Sousa,48,1974,PORTUGAL,MALE,7,NOT FOUND,NOT  FOUND,1,2
Jonny Clayton,47,1974,UNITED KINGDOM,MALE,9,NOT FOUND,21,5,2
Dimitri Vandenbergh,27,1994,BELGIUM,MALE,8,NOT FOUND,22,3,1
Rob Cross,31,1990,UNITED KINGDOM,MALE,10,1.9,21,5,0
Nathan Aspinall,30,1991,UNITED KINGDOM,MALE,18,NOT FOUND,27,2,0
Steve Beaton,58,1964,UNITED KINGDOM,MALE,55,NOT FOUND,22,2,0
William Borland,25,1996,UNITED KINGDOM,MALE,66,NOT FOUND,NOT FOUND,0,1
Andy Boulton,49,1973,UNITED KINGDOM,MALE,59, NOT FOUND,NOT FOUND,0,0
Keegan Brown,29,1992,UNITED KINGDOM,MALE,62,NOT FOUND,NOT FOUND,1,0
Stephen Bunting,37,1985,UNITED KINGDOM,MALE,21,1.75,NOT FOUND,4,0
Dave Chisnall,41,1980,UNITED KINGDOM,MALE,13,1.72,22,0,1
Gabriel Clemens,38,1983,GERMANY,MALE,22,1.95,NOT FOUND,0,0
Joe Cullen,32,1989,UNITED KINGDOM,MALE,11,1.73,21,1,0
Jeffrey De zwaan,26,1996,NETHERLANDS,MALE,47,1.72,23,0,0
Chris Dobey,31,1990,UNITED KINGDOM,MALE,31,NOT FOUND,23,0,0
Brendan Dolan,48,1973,UNITED KINGDOM,MALE,24,NOT FOUND,25,0,1
Glen Durrant,51,1970,UNITED KINGDOM,MALE,32,NOT FOUND,NOT FOUND,10,0
Ricky Evans,31,1990,UNITED KINGDOM,MALE,37,NOT FOUND,21,0,0
Ted Evetts,24,1997,UNITED KINGDOM,MALE,122,NOT FOUND,23,1,0
Andrew Gilding,51,1970,UNITED KINGDOM,MALE,75,NOT FOUND,NOT FOUND,0,0
Daryl Gurney,36,1986,UNITED KINGDOM,MALE,23,1.72,24,2,0
John Henderson,49,1973,UNITED KINGDOM,MALE,67,NOT FOUND,24,1,0
Damon Heta,34,1987,AUSTRALIA,MALE,20,NOT FOUND,NOT FOUND,1,0
Max Hopp,25,1996,GERMANY,MALE,63,1.8,22,1,0
Jamie Hughes,36,1986,UNITED KINGDOM,MALE,41,1.44,NOT FOUND,1,0
Luke Humphries,27,1995,UNITED KINGDOM,MALE,16,1.85,22,1,0
Adam Hunt,28,1993,UNITED KINGDOM,MALE,44,1.85,NOT FOUND,0,0
Kim Huybrechts,36,1985,BELGIUM,MALE,34, NOT FOUND,25,0,1
Ryan Joyce,36,1985,UNITED KINGDOM,MALE,35,NOT FOUND,NOT FOUND,0,0
Mervyn King,56,1966,UNITED KINGDOM,MALE,19,1.75,22,3,2
Martijn Kleermaker,31,1991,NETHERLANDS,MALE,40,1.72,NOT FOUND,0,0
Maik Kuivenhoven,33,1988,NETHERLANDS,MALE,52,NOT FOUND,NOT FOUND,0,0
Darius Labanauskas,45,1976,LITHUANIA,MALE,43,NOT FOUND,NOT FOUND,0,1
Steve Lennon,28,1993,IRELAND,MALE,45,1.7,23,0,0
Zoran Lerchbacher,49,1972,AUSTRIA,MALE,104,NOT FOUND,NOT FOUND,0,0
Adrian Lewis,37,1985,UNITED KINGDOM,MALE,39,1.85,21,9,5
Jason Lowe,49,1972,UNITED KINGDOM,MALE,50,NOT FOUND,NOT FOUND,0,0
Mickey Mansell,48,1973,UNITED KINGDOM,MALE,105,NOT FOUND,25,0,0
Ron Meulenkamp,33,1988, NETHERLANDS,MALE,53,1.86,24,0,0
Joe Murnan,38,1983,UNITED KINGDOM,MALE,70,NOT FOUND,24,0,0
Danny Noppert,31,1990,NETHERLANDS,MALE,12,NOT FOUND,23,2,0
William O Connor,35,1986,IRELAND,MALE,36,NOT FOUND,22,0,0
Devon Petersen,35,1986,SOUTH AFRICA,MALE,27,1.85,26,0,0
Krzysztof Ratajski,45,1977,POLAND,MALE,14, NOT FOUND,20,1,0
