Name,Age,Date of Birth,Country,Debut,Gender,Rank,Style,Points,Hand,World Cup Gold,World Cup Silver,World Cup Bronze
Cannone Romain,24,1997,FRANCE,2014,MALE,1,EPEE,180,R,0,1,1
Limardo Gascon Ruben,36,1985,VENEZUELA,2002,MALE,2,EPEE,172,L,4,1,4
Siklosi Gergely,24,1997,HUNGARY,2011,MALE,3,EPEE,170,R,1,1,2
Santarelli Andrea,28,1993,ITALY,2008,MALE,4,EPEE,162,R,0,0,2
Reizlin Igor,37,1984,UKRAINE,2002,MALE,5,EPEE,155,R,2,0,4
Yamada Masaru,27,1994,JAPAN,2010,MALE,6,EPEE,126,R,1,0,0
Park Sangyoung,26,1995,SOUTH KOREA,2011,MALE,7,EPEE,120,R,3,1,1
Minobe Kazuyasu,34,1987,JAPAN,2007,MALE,8,EPEE,115,L,3,0,0
Bardenet Alexandre,31,1990,FRANCE,2005,MALE,9,EPEE,111,R,1,1,2
Borel Yannick,33,1988,FRANCE,2006,MALE,10,EPEE,110,R,0,3,4
Verwijlen Bas,38,1983,NETHERLANDS,2002,MALE,11,EPEE,96,R,5,6,6
Bida Sergey,29,1993,RUSSIA,2009,MALE,12,EPEE,96,L,1,1,1
Kurbanov Ruslan,30,1991,KAZAKISTAN,2007,MALE,13,EPEE,95,R,0,0,1
Heinzer Max,34,1987,SWITZERLAND,2002,MALE,14,EPEE,92,R,6,2,2
Elkord Houssam,29,1993,MOROCCO,2008,MALE,15,EPEE,88,L,0,0,0
Elsayed Mohamed,19,2003,EGYPT,2017,MALE,1,EPEE,140,R,0,0,0
Cimini Gabriele,27,1994,ITALY,2010,MALE,17,EPEE,85,R,0,1,1
Vismara Federico,24,1997,ARGENTINA,2013,MALE,18,EPEE,85,R,0,0,1
Kano Koki,24,1997,JAPAN,2014,MALE,19,EPEE,67,R,1,0,3
Vuorinen Niko,32,1989,FINLAND,2006,MALE,20,EPEE,66,L,0,0,1
Nikishin Bogdan,41,1980,RUSSIA,2002,MALE,21,EPEE,65,R,4,4,3
Zawrotniak Radoslaw,40,1981,POLAND,2002,MALE,22,EPEE,63,L,0,0,4
Garozzo Enrico,32,1989,ITALY,2004,MALE,23,EPEE,63,R,1,1,5
Gally Aymerick,24,1997,FRANCE,2015,MALE,24,EPEE,62,R,0,0,0
Elsayed Ahmed,23,1998,USA,2014,MALE,25,EPEE,59.125,R,0,0,1
Wang Zijie,25,1996,CHINA,2015,MALE,26,EPEE,57.5,L,0,0,0
Tulen Tristan,30,1991,NETHERLANDS,2009,MALE,27,EPEE,57,L,0,0,0
Lan Minghao,25,1996,CHINA,2015,MALE,28,EPEE,56.75,R,0,0,0
Freilich Yuval Shalom,27,1995,ISRAEL,2008,MALE,29,EPEE,55.25,L,0,0,1
Koch Mate Tamas,22,1999,HUNGARY,2015,MALE,30,EPEE,55,R,0,0,2
Alimzhanov Elmir,35,1986,KAZAKISTAN,2005,MALE,31,EPEE,54,R,0,0,2
Fichera Marco,28,1993,ITALY,2008,MALE,32,EPEE,54,R,1,1,0
Mcdowald Curtis,25,1996,USA,2014,MALE,33,EPEE,54,R,0,0,1
Uyama Satoru,30,1991,JAPAN,2010,MALE,34,EPEE,51,R,0,2,0
Stankevych Volodymyr,26,1995,UKRAINE,2011,MALE,35,EPEE,50,R,0,0,1
Jurka Jakub,22,1999,CZECHOSLOVAKIA,2014,MALE,36,EPEE,49,L,0,0,0
Cuomo Valerio,23,1998,ITALY,2015,MALE,37,EPEE,48,R,1,0,0
Pereira Yulen,26,1995,SPAIN,2009,MALE,38,EPEE,48,R,0,0,0
Andrasfi Tibor,22,1999,HUNGARY,2014,MALE,39,EPEE,46.25,R,0,0,0
Di Veroli Davide,20,2001,ITALY,2016,MALE,40,EPEE,45.5,L,0,1,0
Nagy David,22,1999,HUNGARY,2013,MALE,41,EPEE,44.5,R,0,0,0
Redli Andras,38,1983,HUNGARY,2002,MALE,42,EPEE,43,R,2,1,4
Limardo Jesus,26,1996,VENEZUELA,2011,MALE,43,EPEE,42.125,R,0,0,0
Svichkar Roman,28,1993,UKRAINE,2008,MALE,44,EPEE,41,L,0,0,1
Glazkov Nikita,29,1992,RUSSIA,2008,MALE,45,EPEE,40.5,L,1,1,0
Kweon Youngjun,34,1987,SOUTH KOREA,2004,MALE,46,EPEE,39.875,R,0,0,0
Elsaghir Ahmed,35,1986,EGYPT,2003,MALE,47,EPEE,39.5,R,0,0,0
Komata Akira,24,1997,JAPAN,2013,MALE,48,EPEE,38,R,0,0,0
