Name,Age,Date of Birth,Nationality,Birthplace,FIFA ID,Debut,Position,League,Club,Height,Weight in lbs,Preferred foot,Matches,Goals,Assists,Penalties Scored,Penalties Missed,Goals Conceded,Yellow Cards,Red Cards
Lionel Messi,33,1987,ARGENTINA,ARGENTINA,158023,1994,RW ST CF,SPAIN PRIMERA DIVISION,FC BARCELONA,"5'7""",159,LEFT,499,453,186,60,12,0,49,0
Cristiano Ronaldo,35,1985,PORTUGAL,PORTUGAL,20801,2001,ST LW,ITALIAN SERIE A,JUVENTUS,"6'2""",183,RIGHT,588,464,146,93,15,0,72,8
Xavi,40,1980,SPAIN,SPAIN,10535,1997,CM,SPAIN PRIMERA DIVISION,FC BARCELONA,"5'7""",148,RIGHT,505,58,105,0,2,0,41,1
Andres Iniesta,36,1984,SPAIN,SPAIN,41,2000,CM CAM,JAPANESE J LEAGUE DIVISION ,VISSEL KOBE,"5'7""",150,RIGHT,505,48,80,6,1,0,39,0
Zlatan Ibrahimovic,39,1981,BOSNIA,SWEDEN,41236,1999,ST ,ITALIAN SERIE A,MILAN,"6'5""",209,RIGHT,565,378,133,66,12,0,94,9
Radamel Falcao,34,1986,COLOMBIA,COLOMBIA,167397,1999,ST,TURKISH SUPER LIG,GALATASARAY SK,"5'10""",159,RIGHT,287,178,22,33,7,0,45,1
Robin van Persie,37,1983,NETHERLANDS,NETHERLANDS,7826,2000,ST CAM,HOLLAND EREDIVISIE,FEYENOORD,"6'2""",157,LEFT,435,204,78,21,6,0,61,4
Andrea Pirlo,41,1979,ITALY,ITALY,7763,1994,CM CDM,USA MAJOR LEAGUE SOCCER,NEW YORK CITY FC,"5'10""",150,RIGHT,554,59,97,14,8,0,80 ,3
Yaya Toure,37,1983,COTE D IVOIRE,COTE D IVOIRE,20289,2001,CM CDM,GREEK SUPER LEAGUE,OLYMPIACOS CFP,"6'3""",203,RIGHT,398,74,44,11,0,0,59,3
Edinson Cavani,33,1987,URUGUAY,URUGUAY,179813,2005,ST,ENGLISH PREMIER LEAGUE,MANCHESTER UNITED,"6'1""",170,RIGHT,422,253,41,38,13,0,51,2
Sergio Aguero,32,1988,ARGENTINA,ARGENTINA,153079,2003,ST,ENGLISH PREMIER LEAGUE,MANCHESTER CITY,"5'8""",154,RIGHT,443,255,72,27,5,0,52,3
Iker Casillas,39,1981,SPAIN,SPAIN,5479,1996,GK,PORTUGUESE LIGA ZON SAGRES,FC PORTO,"6'1""",185,LEFT,626,0,0,0,0,598,0,0
Neymar,28,1992,BRAZIL,BRAZIL,190871,2009,LW CAM,FRENCH LIGUE,PARIS SAINT GERMAIN,"5'9""",150,RIGHT,182,118,67,22,3,0,38,6
Sergio Busquets,32,1988,SPAIN,SPAIN,189511,2006,CDM CM,SPAIN PRIMERA DIVISION,FC BARCELONA,"6'2""",168,RIGHT,394,8,20,0,0,0,104,1
Xabi Alonso,39,1981,SPAIN,SPAIN,45197,1999,CDM CM,GERMAN BUNDESLIGA,FC BAYERN MUNCHEN,"6'0""",176,RIGHT,496,32,52,3,1,0,132,3
Thiago Silva,36,1984,BRAZIL,BRAZIL,164240,2002,CB,ENGLISH PREMIER LEAGUE,CHELSEA,"6'0""",174,RIGHT,309,16,5,0,0,0,26,1
Mesut Ozil,32,1988,GERMANY,GERMANY,176635,2006,CAM RW,ENGLISH PREMIER LEAGUE,ARSENAL,"5'11""",157,LEFT,390,65,130,1,1,0,29,2
David Silva,34,1986,SPAIN,SPAIN,168542,2001,CAM CM,SPAIN PRIMERA DIVISION,REAL SOCIEDAD,"5'8""",148,LEFT,508,91,120,0,1,0,65,2
Bastian Schweinsteiger,36,1984,GERMANY,GERMANY,121944,1998,CB,NOT FOUND,NOT FOUND,"6'0""",174,RIGHT,445,54,68,1,2,0,81,0
Gianluigi Buffon,42,1978,ITALY,ITALY,1179,1995,GK,ITALIAN SERIE A,JUVENTUS,"6'4""",203,RIGHT,639,0,0,0,0,517,0,0
Luis Suarez,33,1987,URUGUAY,URUGUAY,176580,2005,ST,SPAIN PRIMERA DIVISION,ATLETICO MADRID,"6'0""",183,RIGHT,452,315,140,27,5,0,90,0
Sergio Ramos,34,1986,SPAIN,SPAIN,155862,2002,CB,SPAIN PRIMERA DIVISION,REAL MADRID,"6'0""",181,RIGHT,506,74,26,16,1,0,173,22
Vincent Kompany,34,1986,BELGIUM,BELGIUM,139720,2003,CB,BELGIAN JUPILER PRO LEAGUE,RSC ANDERLECHT,"6'3""",187,RIGHT,382,25,9,0,0,0,72,5
Gerard Pique,33,1987,SPAIN,SPAIN,152729,2002,CB,SPAIN PRIMERA DIVISION,FC BARCELONA,"6'4""",187,RIGHT,385,30,6,0,0,0,101,6
Philipp Lahm,37,1983,GERMANY,GERMANY,121939,2001,RB CDM CM,GERMAN BUNDESLIGA,FC BAYERN MUNCHEN,"5'7""",146,RIGHT,385,14,40,2,1,0,24,0
Willian,32,1988,BRAZIL,BRAZIL,180403,2006,RW LW RM,ENGLISH PREMIER LEAGUE,ARSENAL,"5'9""",170,RIGHT,398,58,75,5,1,0,34,1
Marco Reus,31,1989,GERMANY,GERMANY,188350,2007,CAM CF,GERMAN BUNDESLIGA,BORUSSIA DORTMUND,"5'11""",157,RIGHT,319,134,67,13,3,0,37,3
Franck Ribery,37,1983,FRANCE,FRANCE,156616,2000,CF LM LW,ITALIAN SERIE A,FIORENTINA,"5'7""",159,RIGHT,401,101,122,3,3,0,52,2
Manuel Neuer,34,1986,GERMANY,GERMANY,167495,2004,GK,GERMAN BUNDESLIGA,FC BAYERN MUNCHEN,"6'4""",203,RIGHT,419,0,0,0,0,339,0,0
Ashley Cole,40,1980,UNITED KINGDOM,UNITED KINGDOM,34079,1998,LB,ENGLISH LEAGUE CHAMPIONSHIP,DERBY COUNTY,"5'9""",146,LEFT,491,18,46,0,0,0,78,9
Wayne Rooney,35,1985,UNITED KINGDOM,UNITED KINGDOM,54050,2000,CM CDM CAM,ENGLISH LEAGUE CHAMPIONSHIP,DERBY COUNTY,"5'9""",183,RIGHT,569,237,126,32,11,0,110,5
Juan Mata,32,1988,SPAIN,SPAIN,178088,2004,CAM RM,ENGLISH PREMIER LEAGUE,MANCHESTER UNITED,"5'7""",139,LEFT,436,93,87,4,0,0,35,1
Thomas Muller,31,1989,GERMANY,GERMANY,189596,2007,CAM RM RW,GERMAN BUNDESLIGA,FC BAYERN MUNCHEN,"6'1""",165,RIGHT,365,124,124,14,2,0,23,0
