Name,Age,Date of Birth,Nationality,Team,Position,Debut,Height in feet,Weight in lb,Games,Assists,Goals,Powerplay Goals,Shorthand Goals,Winning Goals,Overtime Goals,Points,Powerplay Points,Shorthand Points,Shots,Shots Percentage,Penalty Minutes,Wins Percentage
Brayden Point,25,1996,CANADA,TAMPA BAY LIGHTNING,C,2014,5' 10'',183,351,171,139,44,3,31,7,310,86,5,802,17.3,88,48.8
Ondrej Palat,30,1991,CZECHIA,TAMPA BAY LIGHTNING,LW,2011,6' 0'',194,551,249,125,29,7,25,2,374,89,11,1047,11.9,177,21.5
Victor Hedman,30,1990,SWEDEN,TAMPA BAY LIGHTNING,D,2009,6' 6'',241,816,404,114,20,0,19,7,518,176,11,1669,6.8,588,33.3
Yanni Gourde,29,1991,CANADA,TAMPA BAY LIGHTNING,C,NOT FOUND,5' 9'',173,310,107,80,15,5,20,5,187,34,8,524,15.3,219,47.7
Steven Stamkos,31,1990,CANADA,TAMPA BAY LIGHTNING,C,2008,6' 1'',193,841,427,439,165,5,62,8,866,312,8,2589,17,515,49.7
Alex Killorn,31,1989,CANADA,TAMPA BAY LIGHTNING,LW,2007,6' 1'',199,641,197,146,29,3,27,4,343,66,7,1275,11.5,370,40.3
Blake Coleman,29,1991,USA,TAMPA BAY LIGHTNING,C,2011,5' 11'',207,301,55,71,5,10,10,1,126,7,13,710,10,241,42.8
Mikhail Sergachev,23,1998,RUSSIA,TAMPA BAY LIGHTNING,D,2016,6' 3'',216,284,107,29,8,1,6,0,136,43,1,497,5.8,154,50
Anthony Cirelli,23,1997,CANADA,TAMPA BAY LIGHTNING,C,2015,6' 0'',191,218,67,49,2,8,11,2,116,10,11,337,14.5,80,49.5
Tyler Johnson,30,1992,USA,TAMPA BAY LIGHTNING,C,NOT FOUND,5' 8'',185,589,200,161,30,8,30,5,361,88,9,1231,13.1,186,49.8
Barclay Goodrow,28,1993,CANADA,TAMPA BAY LIGHTNING,C,NOT FOUND,6' 2'',203,331,61,32,0,2,9,0,93,2,5,393,8.1,304,52
Mathieu Joseph,24,1997,CANADA,TAMPA BAY LIGHTNING,RW,2015,6' 1'',190,163,23,29,1,0,3,0,52,2,3,189,15.3,52,35.6
Erik Cernak,24,1997,SLOVAKIA,TAMPA BAY LIGHTNING,D,2015,6' 3'',230,171,31,15,1,0,2,0,46,1,0,317,4.7,155,0
Pat Maroon,33,1988,USA,TAMPA BAY LIGHTNING,LW,2007,6' 3'',238,568,146,101,16,0,18,0,247,50,0,902,11.2,646,36.9
Ross Colton,24,1996,USA,TAMPA BAY LIGHTNING,C,2016,6' 0'',191,30,3,9,0,0,4,0,12,0,0,46,19.6,16,48.6
Ryan McDonagh,32,1989,USA,TAMPA BAY LIGHTNING,D,2007,6' 1'',215,712,244,67,9,4,11,2,311,64,17,1186,5.6,288,50
Jan Rutta,30,1990,CZECHIA,TAMPA BAY LIGHTNING,D,NOT FOUND,6' 3'',204,162,34,9,2,0,1,0,43,4,3,202,4.5,76,0
Max Comtois,22,1999,CANADA,ANAHEIM DUCKS,LW,2017,6' 2'',215,94,28,23,3,0,4,0,51,7,0,135,17,71,29.5
Rickard Rakell,28,1993,SWEDEN,ANAHEIM DUCKS,LW,2011,6' 0'',196,499,173,138,28,0,26,6,311,75,3,1230,108,11.2,45.6
Cam Fowler,29,1991,CANADA,ANAHEIM DUCKS,D,2010,6' 1'',207,735,252,73,26,4,16,4,324,124,8,1184,6.1,203,66.7
Adam Henrique,31,1990,CANADA,ANAHEIM DUCKS,C,2008,6' 0'',188,710,201,198,48,14,36,7,399,99,27,1285,15.4,215,49.3
Troy Terry,23,1997,USA,ANAHEIM DUCKS,RW,2015,6' 0'',180,129,33,15,2,0,0,0,48,8,0,170,8.8,26,35.3
Ryan Getzlaf,36,1985,CANADA,ANAHEIM DUCKS,C,2003,6' 3'',228,1101,703,279,84,8,56,11,982,330,14,2455,11.4,931,49.1
Jakob Silfverberg,30,1990,SWEDEN,ANAHEIM DUCKS,RW,2009,6' 0'',208,605,161,146,23,11,19,2,307,50,16,1480,9.9,178,32.7
Derek Grant,31,1990,CANADA,ANAHEIM DUCKS,C,2008,6' 3'',206,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Kevin Shattenkirk,32,1989,USA,ANAHEIM DUCKS,D,2007,6' 0'',203,734,313,85,40,0,14,3,398,177,3,1500,5.7,434,25
Phil Kessel,33,1987,USA,ARIZONA COYOTES,RW,2006,6' 0'',202,1122,513,391,115,1,70,11,904,310,1,3525,11.1,332,41.8
