Name,Age,Country,Gender,Rank,Category,Worldgold,Worldsilver,Worldbronze
Maã Linh Bui,Not Found,FRANCE,FEMALE,1,Not Found,Not Found,Not Found,Not Found
Roberta Dominici,15,ITALY,FEMALE,2,CADET KATA FEMALE,0,1,1
Mariam Elezaby,15,EGYPT,FEMALE,3,CADET KATA FEMALE,1,0,0
Asia Gruppioni,15,ITALY,FEMALE,4,CADET KATA FEMALE,0,0,0
Elena Eidler,16,AUSTRIA,FEMALE,5,CADET KATA FEMALE,0,0,0
Emily Nguyen,Not Found,AUSTRALIA,FEMALE,6,CADET KATA FEMALE,Not Found,Not Found,Not Found
Francesca Crucitti,15,ITALY,FEMALE,7,CADET KATA FEMALE,0,0,0
Melissa Verdone,16,ITALY,FEMALE,8,CADET KATA FEMALE,0,0,0
Diana Oligino,Not Found,VENEZUALA,FEMALE,9,CADET KATA FEMALE,Not Found,Not Found,Not Found
Kate Sung,Not Found,NEW ZEALAND ,FEMALE,10,CADET KATA FEMALE,Not Found,Not Found,Not Found
Sofiya Klyuchnik,Not Found,KAZAKHSTAN,FEMALE,11,CADET KATA FEMALE,Not Found,Not Found,Not Found
Gabriela Navarrete,15,USA,FEMALE,12,CADET KATA FEMALE,0,0,0
Alexandra Wolf,Not Found,GERMANY,FEMALE,13,CADET KATA FEMALE,Not Found,Not Found,Not Found
Emilia Wysocka,15,POLAND,FEMALE,14,CADET KATA FEMALE,0,0,0
Ngai Yi Lee,14,CHINA,FEMALE,15,CADET KATA FEMALE,0,0,1
Nadlima Layla,Not Found,INDONESIA,FEMALE,15,CADET KATA FEMALE,Not Found,Not Found,Not Found
Amira Fodor,14,HUNGARY,FEMALE,15,CADET KATA FEMALE,0,0,0
Sima Celo,Not Found,AUSTRIA,FEMALE,18,CADET KATA FEMALE,Not Found,Not Found,Not Found
Daria Kholodniak,14,UKRAINE,FEMALE,18,CADET KATA FEMALE,0,0,0
Mia Reding,16,LUXEMBOURG,FEMALE,20,CADET KATA FEMALE,0,0,0
Klara Balber,22,NEW CALEDONIA,FEMALE,21,CADET KATA FEMALE,0,1,1
Katerina Novakova,15,CZECH REPUBLIC,FEMALE,22,CADET KATA FEMALE,0,0,0
Aurora Serinelli,Not Found,ITALY,FEMALE,22,CADET KATA FEMALE,Not Found,Not Found,Not Found
Miriam Ederar,Not Found,ITALY,FEMALE,24,CADET KATA FEMALE,Not Found,Not Found,Not Found
