Name,Age,Country,Height in m,Weight in kg,Wins,Losses
Rico Verhoeven,33,NETHERLANDS,1.96,119,60,10
Antonio Plazibat,29,CROATIA,1.94,121.5,22,4
Levi Rigters,27,NETHERLANDS,2.02,118,14,1
Alistair Overeem,42,UNITED KINGDOM,1.93,112,11,4
Nordine Mahieddine,33,FRANCE,1.88,110,27,15
Gokhan Saki,39,NETHERLANDS,1.83,103.5,102,14
Benjamin Adegbuyi,38,ROMANIA,1.98,121,35,8
Badr Hari,38,NETHERLANDS,1.98,114,106,17
Jahfarr Wilnis,37,NETHERLANDS,1.95,113.4,33,13
Tariq Osaro,26,NIGERIA,1.98,112,21,2
Nabil Khachab,22,MOROCCO,1.88,134,25,4
Mohamed Abdallah,41,EGYPT,1.95,117,18,4
Peter Aerts,52,NETHERLANDS,1.92,105,103,31
Abderrahman Barkouch,27,NIGERIA,1.75,142,2,1
Pat Barry,43,UNITED STATES,1.8,108,16,6
