S.No.,Track Title,Artist Name,Album,Writer,Othername,ISNI code,IPI code,ISRC,SESAC Work ID,SESAC Publisher,ASCAP Work ID,ASCAP Publisher,ASCAP Publishers' IPI,BMI Work ID,BMI Publisher,GMR Work ID,GMR Publisher,GMR Publishers' IPI
1,Runaway baby,Bruno Mars,Doo-Wops & Hooligans,Bruno Mars,Peter Gene Hernandez,['0000000117226071'],"['00477487104', '00583145346', '00583145444']",a323da57-33ba-4dac-9ff9-48ef7bba6482,984901,BEANIE MALEANIE SONGS,881899134,BMG FIREFLY,725496126,12234522,FULTON AVENUE MUSIC,100045100,MARS FORCE MUSIC,583434436
2,Look what you made me do,Taylor Swift,The No.1 DJ Collection: 2010s (Digital Collection),Taylor Swift,Nils Sjöberg,['0000000078519858'],"['00454808047', '00454808145', '00454808243', '00804356845']",d06c9d0f-2dbf-4272-9c0d-6d182ca41c67,692158390,WARNER/CHAPPELL MUSIC PUBLISHING LIMITED,420576256,UNIVERSAL MUSIC- MGB SONGS,538724724,25215544,DUCKY DONATH MUSIC,not found,not found,not found
3,You belong with me,Taylor Swift,Fearless: Platinum Edition,Taylor Swift,Nils Sjöberg,['0000000078519858'],"['00454808047', '00454808145', '00454808243', '00804356845']",5f112a1b-1199-4cfb-84c8-35c165d2f314,918273,MIGHTY NICE MUSIC,550151647,WC MUSIC CORP,53026414,9611045,ORBISON MUSIC LLC,not found,not found,not found
4,Never say never,Justin Bieber,not found,Adam Messinger,not found,['0000000114791200'],"['00611935265', '00611935363']",dd1199ef-6606-48ce-a4b1-6e9a47ae546d,163632,CLAYTON-NORMAN PUBL CO,530957878,HUMASSIVE MUSIC,338710658,13703742,SHIRA LEE LAWRENCE RICK MUSIC,100061956,UNIVERSAL MUSIC WORKS,832425062
5,Just the way you are,Bruno Mars,Club R&B 2,Billy Joel,Peter Gene Hernandez,['0000000117226071'],"['00477487104', '00583145346', '00583145444']",93a89b89-3a02-4501-a55b-ca1d8f6575da,82896,LORNE MATTHEWS FAMILY PROD,400037367,EMI ROBBINS CATALOG INC,128632966,14414169,DOWNTOWN DMP SONGS,100044972,MARS FORCE MUSIC,583434436
6,When I was your man,Bruno Mars,Greatest Songs,Bruno Mars,Peter Gene Hernandez,['0000000117226071'],"['00477487104', '00583145346', '00583145444']",5585469e-7608-49eb-b195-63653bedc373,Not found,not found,530326380,KEVIN SAVIGAR MUSIC,126832282,14992124,DOWNTOWN DMP SONGS,100045161,MARS FORCE MUSIC,583434436
7,The way you make me feel,Michael Jackson,not found,Michael Jackson,not found,['000000011023081X'],"['00002961801', '00523553664']",d4a7cc87-5159-4822-80c9-f9dde7b0543f,645520,GAS GRASS OR ASS PUBLISHING,501005398,TAFARI MUSIC INC,338650451,6397212,BMG PLATINUM SONGS US,100061609,BADAMS MUSIC LIMITED,not found
8,Beat it,Michael Jackson,not found,Michael Jackson,not found,['000000011023081X'],"['00002961801', '00523553664']",3bd80b98-f2fe-47cf-9698-75a3e75623a9,6989,DAWN TREADER MUSIC,320026477,BOURNE CO,3915803,94884,REENY RHYTHMS INC,100070618,WARNER-GRANDVIEW MUSIC,not found
9,Earth song,Michael Jackson,not found,not found,not found,['000000011023081X'],"['00002961801', '00523553664']",ceed1b5f-b4aa-4acc-9ecd-2c9ede7cc2c2,35888,CONVENTION PRESS,350078249,UNIVERSAL MUSIC CORPORATION,31312147,2059527,MIJAC MUSIC,not found,not found,not found
10,We belong together,Mariah carey,not found,Mariah Carey,not found,['0000000114722280'],['00227453081'],d8ae0b90-fc41-422e-a0c1-d0851e46f3f5,601618,CARDRAYGEE MUSIC PUBLISHING,530019024,CATSOS MUSIC,74209386,7558879,ABKCO MUSIC INC,100087263,FOX GLOBAL MUSIC INC,801538365
11,All I want for Christmas is you,Mariah carey,not found,Mariah Carey,not found,['0000000114722280'],['00227453081'],9dde0289-529b-464f-ac1a-ffc148c63174,544475,JIM JENDA PUBLISHING,310297042,SONGS OF DELTA BOY MUSIC CO,335928736,21534931,JUSTIN PETERS MUSIC,not found,not found,not found
12,We Found Love,Rihanna,not found,Calvin Harris,not found,['0000000114766419'],"['00479976469', '00479976665', '00486793099']",a7748b59-0c8e-49d2-84b4-542ef7ea434c,62002,SAGE-SAND-MUSIC,530019702,BIENSTOCK PUBLISHING COMPANY,31220448,29426727,ULTRA EMPIRE MUSIC,not found,not found,not found
13,Go Crazy,Chris Brown,Elysium (I Go Crazy),Paul Davis,Christopher Maurice Brown,not found,['00484845803'],593c7489-e23e-4b6a-93ef-fbc3b5e9a1c0,48,DEIRO-PIETRO PUBL,370512777,UNIVERSAL MUSIC CORPORATION,31312147,7760005,EMI BLACKWOOD MUSIC INC,100065227,WARNER-GRANDVIEW MUSIC,not found
14,Look at me now,Chris Brown,"Hits, Volume 31: April–May 2011",Chris Brown,Christopher Maurice Brown,not found,['00484845803'],ef6251ac-a6bf-4509-8935-2445c5f4f79b,58622374,PFILBRYTETUNES,420130530,BIENSTOCK PUBLISHING COMPANY,31220448,1946322,UNIVERSAL MUSIC BRENTWOOD BENSON SONGS,100078421,BADAMS MUSIC LIMITED,663536627
15,In my Feelings,Drake,In My Feelings,Aubrey Graham,not found,['000000012032246X'],['00529397022'],dd6c0aa4-9b13-45e3-bac9-6f45f7c0607d,30645,NATIONAL-MUSIC CO INC,885794949,BASSBOX PUBLISHING,675879669,28028136,EIGHTH AND GROOVE MUSIC,100069435,R RATED MUSIC,506040992
16,Chicago Freestyle,Drake,Dark Lane Demo Tapes,Aubrey Graham,not found,['000000012032246X'],['00529397022'],f0c745e6-042c-4838-9b7f-13d326e05cd6,Not found,Not found,not found,not found,not found,not found,not found,100091733,SANDRA GALE,793789464
17,All of the Lights,Kanye West,All Of The Lights,Kanye west,Kanye Omari West,"['0000000116557565', '0000000362939198']","['00335677734', '00451108296']",9bd9a717-0c3b-49d9-ba18-4e40749e4d52,885633,ARBOUR INTERACTIVE,882654292,TUNEDGE MUSIC,342234496,12426989,EMI BLACKWOOD MUSIC INC,not found,not found,not found
18,Smells Like Teen Spirit,Nirvana,Donkeyshow,Kurt Cobain,Nirvana,"['0000000123486830', '0000000123487390']",not found,33a5f939-c85c-448e-9f5e-946f1ca36991,576034,BMG RIGHTS MANAGEMENT (UK) LIMITED,905650303,BMG RIGHTS MANAGEMENT (UK) LIMITED,576134244,1358504,MJ TWELVE MUSIC,not found,not found,not found
19,I want to hold your hand,The Beatles,not found,Lennon-Mccartney,not found,['0000000121707484'],not found,4ea594b9-61da-494a-b3e5-44198ed40db2,Not found,Not found,390189492,SONY/ATV TUNES LLC,338164558,7723628,DE MUSIC,100073317,not found,not found
20,You'll Never Walk Alone,Gerry and the Pacemakers,The Very Best Of,Richard Rodgers,Gerry And The Peacemakers,['0000000122845416'],not found,71519c0e-3d27-4e61-b36e-1b770a3517ae,690462272,INCONNU EDITEUR,551030730,not found,not found,1723059,BAYJUN BEAT MUSIC,not found,not found,not found
21,All You Need Is Love,The Beatles,not found,Lennon-Mccartney,not found,['0000000121707484'],not found,470260ab-c41a-4461-baa7-df6cc9641e1f,690440998,COPYRIGHT ADMINISTRATION FILMS,310108586,NORTHERN SONGS LTD,22562608,27381,not found,not found,not found,not found
22,Complicated,Avril Lavigne,My World,Avril Lavigne,Avril Ramona Lavigne,['0000000114946276'],['00424984337'],efd539c3-d31f-428d-8d18-3de8cacaf3b4,531242,FOX STREET MUSIC,330544933,MICHAEL STANLEY MUSIC CO,43914585,6043228,MR SPOCK MUSIC,not found,not found,not found
23,When you are gone,Avril Lavigne,The Softer Side,Bryan Adams,Avril Ramona Lavigne,['0000000114946276'],['00424984337'],2a8a36b4-f813-43f2-a43d-6dda1a369d16,620966,GRASS STRAND MUSIC,530637053,ANTONIO CARLOS DEFEO MUSIC,not found,1651220,SONY/ATV TREE PUBLISHING,not found,not found,not found
24,Genie in a Bottle,Christina Aguilera,Nu Divas,David Frank,Christina Aquilera,['000000005518483X'],['00426316475'],fbe9ad8c-3a31-4b5a-9710-228b8c77907b,1064418,TWILITE TUNES,370330302,EMI APRIL MUSIC INC,128633767,5030266,MANIFESTED DAY MUSIC,not found,not found,not found
25,Baby One more time,Britney spears,not found,Max Martin,not found,['0000000109898265'],['00353662065'],df27dc63-1863-4a25-a6da-22905af446c7,not found,not found,320500025,GV-MXM,698743182,73510,LAMASCO MUSIC,not found,not found,not found
26,Toxic,Britney spears,not found,Christian Karlsson,not found,['0000000109898265'],['00353662065'],caedbf7d-4f49-4404-ba56-419a5bda6435,582220,JILLIAN DVG MUSIC,500702627,ARLOVOL MUSIC,589665378,4096254,USA ATMOSPHERE MUSIC PUBLISHING,100083440,not found,not found
27,Just give me a reason,P!nk,NRJ Hit Music Only! 2013,Jeff Bhasker,Pink,['000000012028175X'],['00342943558'],d4a892a0-a34a-47c0-bbd7-88bb0acff670,53977333,SONY/ATV CROSS KEYS PUBLISHING,889173525,DON-WOLFEN MUSIC,276515155,14740158,EMI BLACKWOOD MUSIC INC,not found,not found,not found
28,What about us,P!nk,NRJ Smash Hits 2018,Phillip Jacobs,Pink,['000000012028175X'],['00342943558'],aca92b32-f8ef-4d2f-ba75-d1de5a01b8c6,507269,SONY/ATV SPRINGHOUSE MUSIC,341480955,BMG 10 MUSIC LIMITED,714379143,25125540,EMI BLACKWOOD MUSIC INC,not found,not found,not found
29,Beautiful Trauma,P!nk,Just the Hits 2018,Pink,Pink,['000000012028175X'],['00342943558'],30086ee6-01c1-466f-b9da-dacd4a8f0e75,not found,not found,not found,not found,not found,25600303,DUCKY DONATH MUSIC,not found,not found,not found
30,Walk me home,P!nk,NRJ Back To School 2019,Scott Harris,Pink,['000000012028175X'],['00342943558'],2ddbbd89-dcd3-4a7a-8bca-7a3e5533cbe5,46463,JOHN DANIEL,530130000,not found,not found,29616475,PINK INSIDE PUBLISHING,100001997,TEMPO INVESTMENTS/SMACK HITS,not found
31,Rain on me,Lady Gaga,not found,Stefani Germanotta,not found,['0000000120254559'],"['00519338344', '00519338442', '00519338540']",d12f9759-678e-424a-b1f8-6329c73caf91,1345,CENTURY MUSIC PUB CO INC,480213525,CHURN MUSIC,128421297,6552666,D J IRV PUBLISHING,100044536,DOWNTOWN GLOBAL TWO,857383792
32,Poker Face,Lady Gaga,not found,Stefani Germanotta,not found,['0000000120254559'],"['00519338344', '00519338442', '00519338540']",26e20d55-86c9-41ab-8794-874e0f7daf3a,730955,FORGOTTEN FABLE,460056000,EMI ROBBINS CATALOG INC,128632966,9990767,HOUSE OF GAGA PUBLISHING LLC,not found,not found,not found
33,Born this way,Lady Gaga,not found,Gaga,not found,['0000000120254559'],"['00519338344', '00519338442', '00519338540']",df2bdb66-8f0a-4574-9162-ccfa1de870f9,57286520,ESCAPE THE ORDINARY MUSIC,320562852,UNIVERSAL MUSIC- MGB SONGS,538724724,12342685,GARIBAY MUSIC PUBLISHING,not found,not found,not found
