Name,Age,Country,Status,Points
"Pieres, Facundo",37,ARGENTINA,PROFESSIONAL,1572
"Cambiaso, Adolfo jr",48,ARGENTINA,PROFESSIONAL,1534
"Castagnola, Bartolome jr",53,ARGENTINA,PROFESSIONAL,1528
"Castagnola, Camilo",21,ARGENTINA,PROFESSIONAL,1471
"Cambiaso, Adolfo",48,ARGENTINA,PROFESSIONAL,1446
"Ulloa, Hilario",38,ARGENTINA,PROFESSIONAL,1343
"Nero, Juan Martin",42,ARGENTINA,PROFESSIONAL,1228
"Stirling Jr., David",42,URUGUAY,PROFESSIONAL,1193
"Elizalde, Francisco",NOT FOUND,ARGENTINA,PROFESSIONAL,1132
"Paradice, David",64,AUSTRALIA,        PROFESSIONAL,692
