Name,Age,Country,Height in m,Weight in kg,Ranking Boulder,Ranking Lead
ADAM ONDRA,30,CZECH REPUBLIC,1.86,70,3,31
ALEKSEY RUBTSOV,34,RUSSIA,1.78,63,12,76
JAN HOJER,31,GERMANY,1.87,77,25,75
JERNEJ KRUDER,32,SLOVENIA,1.8,70,24,NOT FOUND
JONGWON CHON,27,SOUTH KOREA,1.77,60,27,NOT FOUND
AKIYO NOGUCHI,33,JAPAN,1.67,49,9,22
ALANNAH YIP,29,CANADA,1.64,NOT FOUND,NOT FOUND,NOT FOUND
FANNY GIBERT,30,FRANCE,1.65,51,16,38
IEVGENIIA KAZBEKOVA,27,UKRAINE,1.64,NOT FOUND,NOT FOUND,NOT FOUND
JANJA GARNBRET,24,SLOVENIA,1.64,47,2,1
