Name,Age,Date of Birth,Nationality,Team,Position,Debut,Height in cm,Weight in kg,Matches,Wins,Draws,Losses,Minutes,Started,Points,Tries,Drops,Penalties,Conversions,Yellow Cards,Red Cards
Sam ASPLAND-ROBINSON,24,1997,UNITED KINGDOM,LEICESTER,WINGER,2018,188,100,15,3,0,12,585,8,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,1,NOT FOUND
Matias ALEMANNO,29,1991,ARGENTINA,GLOUCESTER,LOCK,2017,198,117,85,29,3,53,3947,52,25,5,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,1
Alejandro ALMELA-UDRY,30,1990,ARGENTINA,BEAUVAIS XV RC,OUVERTURE,NOT FOUND,180,83,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Ignacio CALLES,25,1995,ARGENTINA,PAU,PROP,2015,187,116,44,20,1,23,1561,17,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Bautista DELGUY,24,1997,ARGENTINA,BORDEAUX,WINGER,2017,182,83,46,20,3,23,3054,42,100,20,NOT FOUND,NOT FOUND,NOT FOUND,1,NOT FOUND
Matias FERRO,25,1995,ARGENTINA,C S BEAUNE,FULLBACK,2014,183,88,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Francisco GOMEZ KODELA,35,1985,ARGENTINA,LYON,PROP,2009,184,121,189,94,10,85,9209,130,10,2,NOT FOUND,NOT FOUND,NOT FOUND,10,1
Axel MULLER,27,1993,URUGUAY,BRIVE,WINGER,2015,186,94,82,37,3,42,5533,70,100,20,NOT FOUND,NOT FOUND,NOT FOUND,5,NOT FOUND
Ivan NEMER,23,1998,ARGENTINA,BENETTON,PROP,2019,180,116,14,5,0,9,507,4,5,1,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Carlos MUZZIO,36,1984,ARGENTINA,MONT DE MARSAN,PROP,2010,180,111,176,95,4,77,4854,118,40,8,NOT FOUND,NOT FOUND,NOT FOUND,29,3
