Name,Age,Date of Birth,Height in cm,skitype
Stefan Brennsteiner,32,1991,184,FISCHER
Stefan Babinsky,28,1996,184,HEAD
Manuel Feller,31,1992,184,ATOMIC
Max Franz,34,1989,182,FISCHER
Raphael Haaser,26,1997,182,FISCHER
Daniel Hemetsberger,32,1991,174,FISCHER
Christian Hirschbühl,34,1990,178,ROSSIGNOL
Ali Nullmeyer,25,1998,NOT FOUND,ATOMIC
Amelia Smart,26,1998,NOT FOUND,ATOMIC
Britt Richardson,20,2003,NOT FOUND,DYNASTAR
Cassidy Gray,23,2001,NOT FOUND,FISCHER
Laurence St-Germain,29,1994,NOT FOUND,ROSSIGNOL
Marie-Michèle Gagnon,35,1989,                   NOT FOUND,                HEAD
