Name,Age,Date of Birth,Country,Gender,Rank,Debut,Height in cm,Weight in kg,Wins,Score
Filipe Toledo,27,1995,BRAZIL,MALE,1,2013,175,70,29,13.58
Jack Robinson,24,1997,USA,MALE,2,NOT FOUND,180,81,23,13.84
Italo Ferreira,28,1994,BRAZIL,MALE,4,2015,168,68,21,13.28
Griffin Colapinto,23,1998,USA,MALE,5,NOT FOUND,178,78,19,13.1
Ethan Ewing,24,1997,AUSTRALIA,MALE,3,NOT FOUND,178,77,21,13.75
Samuel Pupo,21,2000,BRAZIL,MALE,11,NOT FOUND,NOT FOUND,NOT FOUND,14,11.19
Gabriel Medina,28,1993,BRAZIL,MALE,24,2012,180,77,6,12.99
Kelly Slater,50,1972,USA,MALE,17,1990,175,73,8,11.47
John John Florence,29,1992,HAWAII,MALE,8,2012,186,79,15,15.04
Miguel Pupo,30,1991,BRAZIL,MALE,9,2011,175,73,12,11.17
Kanoa Igarashi,24,1997,JAPAN,MALE,6,2016,180,78,19,12.85
Caio Ibelli,28,1993, BRAZIL,MALE,12,2016,167,72,13,11.15
Carissa Moore,29,1992,USA,FEMALE,1,2010,170,70,19,12.01
Tatiana Weston-Webb,26,1996,BRAZIL,FEMALE,3,2015,162,58,14,11.73
Johanne Defay,28,1993,FRANCE,FEMALE,2,2014,167,61,17,11.63
Stephanie Gilmore,34,1988,AUSTRALIA,FEMALE,4,2007,178,68,12,11.38
Lakey Peterson,27,1994,USA,FEMALE,6,2012,170,59,11,10.47
Brisa Hennessy,22,1999,COSTA RICA,FEMALE,5,NOT FOUND,162,57,13,10.69
Tyler Wright,28,1994,AUSTRALIA,FEMALE,7,2011,170,68,14,12.48
Isabella Nichols,24,1997,AUSTRALIA,FEMALE,9,NOT FOUND,NOT FOUND,NOT FOUND,10,10.35
Gabriela Bryan,31,1989,KILAUEA,FEMALE,8,NOT FOUND,NOT FOUND,NOT FOUND,11,10.98
Caroline Marks,20,2002,USA,FEMALE,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Courtney Conlogue,29,1992,USA,FEMALE,10,2011,173,63,8,10.69
Barron Mamiya,22,2000,USA,MALE,15,NOT FOUND,175,62,11,12.53
Callum Robson,21,2001,AUSTRALIA,MALE,7,NOT FOUND,NOT FOUND,NOT FOUND,14,10.75
Connor O'Leary,28,1993,USA,MALE,9,2017,185,85,15,11.33
Jackson Baker,25,1997,AUSTRALIA,MALE,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Jadson Andre,32,1990, BRAZIL,MALE,22,2010,170,70,6,10.5
Jake Marshall,21,2001,NEWZEALAND,MALE,19,NOT FOUND,182,74,7,9.29
Jordy Smith,34,1988,SOUTH AFRICA,MALE,13,2008,190,88,11,11.96
Kolohe Andino,28,1994,USA,MALE,18,NOT FOUND,180,79,9,11.17
Matthew McGillivray,25,1997,SOUTH AFRICA,MALE,14,NOT FOUND,180,73,10,11.12
Nat Young,74,1947,AUSTRALIA,MALE,16,2013,180,75,9,12
Seth Moniz,24,1997,USA,MALE,20,NOT FOUND,170,68,7,10.68
