Name,Age,Date of Birth,Gender,Country,Debut,Height in m,Weight in kg,Plays,Grip,Rank,Best Rank,Singles Played,Singles Won,Singles Lost,Doubles Played,Doubles Won,Doubles Lost,Total Played,Total Won,Total Lost
FAN Zhendong,24,1997,MALE,CHINA,2012,1.73,77,RIGHT,SHAKEHAND,1,1,20,18,2,9,7,2,105,87,18
XU Xin,31,1990,MALE,CHINA,2005,1.81,75,LEFT,PENHOLD,3,1,15,12,3,74,68,6,134,120,14
MA Long,32,1988,MALE,CHINA,2003,1.75,72,RIGHT,SHAKEHAND,2,1,19,15,4,8,7,1,27,22,5
LIN Gaoyuan,26,1995,MALE,CHINA,2010,NOT FOUND,63,LEFT,SHAKEHAND,7,2,10,6,4,9,6,3,19,12,7
HARIMOTO Tomokazu,18,2003,MALE,JAPAN,2014,1.78,64,RIGHT,SHAKEHAND,4,3,14,9,5,40,27,13,17,11,6
CALDERANO Hugo,25,1996,MALE,BRAZIL,2009,1.82,74,RIGHT,SHAKEHAND,5,5,6,4,2,8,6,2,6,4,2
LIN Yun-Ju,20,2001,MALE,TAIWAN,2013,1.74,NOT FOUND,LEFT,SHAKEHAND,6,5,8,4,4,8,8,0,17,9,8
FALCK Mattias,30,1991,MALE,SWEDEN,2007,1.88,88,RIGHT,SHAKEHAND,9,7,10,7,3,4,1,3,14,8,6
LIANG Jingkun,24,1996,MALE,CHINA,2011,NOT FOUND,NOT FOUND,RIGHT,SHAKEHAND,12,6,6,3,3,43,36,7,103,81,22
BOLL Timo,40,1981,MALE,GERMANY,2001,1.81,74,LEFT,SHAKEHAND,10,1,6,6,0,1,0,1,11,7,4
JANG Woojin,26,1995,MALE,KOREA,2009,1.71,90,RIGHT,SHAKEHAND,11,9,10,6,4,41,26,15,18,13,5
OVTCHAROV Dimitrij,33,1988,MALE,UKRAINE,2003,1.86,78,RIGHT,SHAKEHAND,8,1,16,14,2,2,1,1,18,15,3
JEOUNG Youngsik,29,1992,MALE,SOUTH KOREA,2005,1.8,65,RIGHT,SHAKEHAND,13,7,8,3,5,4,4,0,12,5,7
WANG Chuqin,21,2000,MALE,CHINA,2012,1.85,NOT FOUND,LEFT,SHAKEHAND,17,12,63,51,12,8,6,2,94,74,20
PITCHFORD Liam,28,1993,MALE,UNITED KINGDOM,2008,1.83,58,RIGHT,SHAKEHAND,14,12,15,10,5,1,0,1,21,14,7
FRANZISKA Patrick,29,1992,MALE,GERMANY,2007,1.9,88,RIGHT,SHAKEHAND,15,13,5,3,2,5,2,3,10,5,5
NIWA Koki,26,1994,MALE,JAPAN,2007,1.62,51,LEFT,SHAKEHAND,18,5,7,2,5,17,7,10,7,2,5
MIZUTANI Jun,32,1989,MALE,JAPAN,2003,1.72,68,LEFT,SHAKEHAND,22,4,3,2,1,3,2,1,6,4,2
WONG Chun Ting,30,1991,MALE,HONGKONG,2008,1.7,70,RIGHT,PENHOLD,21,6,8,3,5,16,10,6,24,13,11
GAUZY Simon,26,1994,MALE,FRANCE,2007,1.82,77,RIGHT,SHAKEHAND,19,8,9,6,3,5,4,1,14,10,4
ARUNA Quadri,33,1988,MALE,NIGERIA,2007,1.77,NOT FOUND,RIGHT,SHAKEHAND,16,15,6,4,2,7,3,4,6,4,2
LEE Sangsu,31,1990,MALE,SOUTH KOREA,2005,1.78,68,RIGHT,SHAKEHAND,20,6,4,2,2,15,13,2,19,15,4
ZHAO Zihao,24,1997,MALE,CHINA,2018,NOT FOUND,NOT FOUND,RIGHT,PENHOLD,26,22,9,6,3,7,5,2,9,6,3
GARDOS Robert,42,1979,MALE,HUNGARY,2001,1.78,66,RIGHT,SHAKEHAND,27,18,7,4,3,8,4,4,15,8,7
FREITAS Marcos,33,1988,MALE,PORTUGAL,2003,1.82,74,LEFT,SHAKEHAND,24,7,8,5,3,1,0,1,8,5,3
CHUANG Chih-Yuan,40,1981,MALE,TAIWAN,2001,1.69,60,RIGHT,SHAKEHAND,25,3,2,0,2,6,4,2,8,4,4
SAMSONOV Vladimir,45,1976,MALE,BELARUS,2001,1.89,83,RIGHT,SHAKEHAND,31,2,8,4,4,2,1,1,8,4,4
JHA Kanak,21,2000,MALE,USA,2012,1.66,62,RIGHT,SHAKEHAND,30,22,13,7,6,26,13,13,13,7,6
KARLSSON Kristian,30,1991,MALE,SWEDEN,2007,1.83,78,LEFT,SHAKEHAND,28,17,9,6,3,4,1,3,13,7,6
GROTH Jonathan,28,1992,MALE,DENMARK,2008,1.84,75,LEFT,SHAKEHAND,33,15,3,0,3,5,2,3,3,0,3
JORGIC Darko,23,1998,MALE,SLOVENIA,2012,NOT FOUND,85,RIGHT,SHAKEHAND,23,23,8,5,3,4,3,1,12,8,4
ACHANTA Sharath Kamal,39,1982,MALE,INDIA,2003,1.85,82,RIGHT,SHAKEHAND,32,30,5,3,2,4,1,3,9,4,5
PUCAR Tomislav,25,1996,MALE,CROATIA,2010,1.97,88,RIGHT,SHAKEHAND,34,30,6,3,3,4,3,1,10,6,4
WANG Yang,27,1994,MALE,CHINA,2007,1.8,93,RIGHT,SHAKEHAND,35,32,18,12,6,3,0,3,22,14,6
UDA Yukiya,20,2001,MALE,JAPAN,2013,NOT FOUND,NOT FOUND,LEFT,SHAKEHAND,40,35,2,0,2,7,3,4,28,19,9
TSUBOI Gustavo,36,1985,MALE,BRAZIL,2002,1.7,NOT FOUND,LEFT,SHAKEHAND,38,28,4,2,2,2,0,2,10,4,6
GNANASEKARAN Sathiyan,28,1993,MALE,INDIA,2007,1.68,49,RIGHT,SHAKEHAND,37,24,5,3,2,4,2,2,12,8,4
DUDA Benedikt,25,1996,MALE,GERMANY,2010,NOT FOUND,67,LEFT,SHAKEHAND,42,35,5,2,3,7,4,3,12,6,6
AN Jaehyun,24,1997,MALE,SOUTH KOREA,2012,1.8,65,RIGHT,SHAKEHAND,41,35,5,3,2,3,1,2,5,3,2
LEBESSON Emmanuel,33,1988,MALE,FRANCE,2003,1.79,NOT FOUND,LEFT,SHAKEHAND,39,20,13,8,5,13,8,5,17,9,8
ASSAR Omar,30,1991,MALE,EGYPT,2005,1.96,92,RIGHT,SHAKEHAND,29,16,2,0,2,6,4,2,8,4,4
FILUS Ruwen,33,1988,MALE,GERMANY,2003,1.88,80,RIGHT,SHAKEHAND,36,18,10,7,3,14,10,4,10,7,3
PERSSON Jon,34,1987,MALE,SWEDEN,2003,1.82,96,RIGHT,SHAKEHAND,44,42,7,4,3,2,1,1,9,5,4
HABESOHN Daniel,35,1986,MALE,AUSTRIA,2003,1.86,78,RIGHT,SHAKEHAND,43,27,7,4,3,8,4,4,15,8,7
JIN Takuya,28,1993,MALE,JAPAN,2010,1.8,75,RIGHT,SHAKEHAND,47,44,9,7,2,8,5,3,9,7,2
GERASSIMENKO Kirill,24,1996,MALE,KAZAKHISTAN,2011,1.75,NOT FOUND,RIGHT,SHAKEHAND,45,33,4,2,2,10,5,5,4,2,2
GACINA Andrej,35,1986,MALE,CROATIA,2003,1.86,82,RIGHT,SHAKEHAND,46,18,12,9,3,3,2,1,12,9,3
MORIZONO Masataka,26,1995,MALE,JAPAN,2009,1.6,48,LEFT,SHAKEHAND,49,21,6,4,2,3,2,1,6,4,2
GIONIS Panagiotis,41,1980,MALE,GREECE,2001,1.87,85,RIGHT,SHAKEHAND,50,19,2,1,1,1,0,1,3,1,2
SALEH Ahmed,41,1979,MALE,BANGLADESH,2001,1.79,NOT FOUND,RIGHT,SHAKEHAND,48,47,3,1,2,1,0,1,13,7,6
SIRUCEK Pavel,28,1992,MALE,CZECHIA,2008,1.93,NOT FOUND,RIGHT,SHAKEHAND,55,44,7,4,3,2,1,1,9,5,4
YOSHIMURA Kazuhiro,25,1996,MALE,JAPAN,2014,1.75,NOT FOUND,RIGHT,SHAKEHAND,54,34,36,23,13,10,7,3,46,30,16
QIU Dang,25,1996,MALE,GERMANY,2009,NOT FOUND,67,RIGHT,PENHOLD,52,48,8,6,2,11,8,3,19,14,5
KOU Lei,33,1987,MALE,CHINA,2008,1.76,73,RIGHT,SHAKEHAND,57,20,3,1,2,4,3,1,9,5,4
SKACHKOV Kirill,34,1987,MALE,RUSSIA,2004,1.91,NOT FOUND,RIGHT,SHAKEHAND,53,29,6,3,3,3,2,1,9,5,4
APOLONIA Tiago,35,1986,MALE,PORTUGAL,2002,1.86,73,RIGHT,SHAKEHAND,59,13,6,3,3,5,3,2,11,6,5
DRINKHALL Paul,31,1990,MALE,UNITED KINGDOM,2004,1.78,80,RIGHT,SHAKEHAND,58,32,6,3,3,1,0,1,7,3,4
KALLBERG Anton,24,1997,MALE,SWEDEN,2011,1.83,65,RIGHT,SHAKEHAND,51,50,14,11,3,7,4,3,21,15,6
ISHIY Vitor,26,1995,MALE,BRAZIL,2010,NOT FOUND,60,RIGHT,SHAKEHAND,63,56,4,2,2,7,3,4,11,5,6
IONESCU Ovidiu,32,1989,MALE,ROMANIA,2005,1.83,72,RIGHT,SHAKEHAND,56,39,7,4,3,14,8,6,21,12,9
MAJOROS Bence,24,1997,MALE,HUNGARY,2010,1.8,74,RIGHT,SHAKEHAND,61,59,10,5,5,2,1,1,12,6,6
AGUIRRE Marcelo,28,1993,MALE,PARAGUAY,2006,1.74,66,LEFT,SHAKEHAND,65,54,8,4,4,20,5,15,8,4,4
OIKAWA Mizuki,24,1997,MALE,JAPAN,2012,1.61,57,RIGHT,SHAKEHAND,66,61,8,6,2,3,2,1,5,3,2
ROBLES Alvaro,30,1991,MALE,SPAIN,2007,1.88,79,LEFT,SHAKEHAND,64,37,15,10,5,10,6,4,13,7,6
DYJAS Jakub,25,1995,MALE,POLAND,2009,1.83,54,RIGHT,SHAKEHAND,68,36,8,5,3,8,6,2,10,7,3
